College,Season,Coach,username,Coach,Role,Race
Air Force,2006,Fisher DeBerry,fisher-deberry,Fisher DeBerry,Head Coach,White
Air Force,2006,Jemal Singleton,jemal-singleton,Jemal Singleton,Running Backs Coach,Other
Air Force,2006,Paul Hamilton,paul-hamilton,Paul Hamilton,Fullbacks Coach,#N/A
Air Force,2006,Pete Hurt,pete-hurt,Pete Hurt,Offensive Line Coach,#N/A
Air Force,2006,Richard Bell,richard-bell,Richard Bell,Defensive Coordinator/Inside Linebackers Coach,White
Air Force,2006,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2006,Tom Miller,tom-miller,Tom Miller,Special Teams Coordinator,White
Air Force,2007,Ben Miller,ben-miller,Ben Miller,Tight Ends Coach,White
Air Force,2007,Blane Morgan,blane-morgan,Blane Morgan,Quarterbacks Coach,White
Air Force,2007,Brian Knorr,brian-knorr,Brian Knorr,Inside Linebackers Coach,White
Air Force,2007,Charlton Warren,charlton-warren,Charlton Warren,Defensive Backs Coach,Black
Air Force,2007,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach,White
Air Force,2007,Jemal Singleton,jemal-singleton,Jemal Singleton,Running Backs Coach,Other
Air Force,2007,Matt Weikert,matt-weikert,Matt Weikert,Outside Linebackers Coach,#N/A
Air Force,2007,Mike Thiessen,mike-thiessen,Mike Thiessen,Wide Receivers Coach,White
Air Force,2007,Ron Burton,ron-burton,Ron Burton,Defensive Line Coach,#N/A
Air Force,2007,Tim DeRuyter,tim-deruyter,Tim DeRuyter,Defensive Coordinator/Safeties Coach,White
Air Force,2007,Tim Horton,tim-horton,Tim Horton,Offensive Coordinator,White
Air Force,2007,Troy Calhoun,troy-calhoun,Troy Calhoun,Head Coach,White
Air Force,2008,Ben Miller,ben-miller,Ben Miller,Tight Ends Coach,White
Air Force,2008,Blane Morgan,blane-morgan,Blane Morgan,Offensive Coordinator/Quarterbacks Coach,White
Air Force,2008,Charlton Warren,charlton-warren,Charlton Warren,Defensive Backs Coach,Black
Air Force,2008,Clay Hendrix,clay-hendrix,Clay Hendrix,Offensive Coordinator/Offensive Line Coach,White
Air Force,2008,Jemal Singleton,jemal-singleton,Jemal Singleton,Running Backs Coach,Other
Air Force,2008,Matt Wallerstedt,matt-wallerstedt,Matt Wallerstedt,Inside Linebackers Coach,White
