"","College","Season","Coach","username","Coach.1","Role","Race"
"54","Alabama",2004,"David Rader","david-rader","David Rader","Offensive Coordinator/Quarterbacks Coach","White"
"55","Alabama",2005,"David Rader","david-rader","David Rader","Offensive Coordinator/Quarterbacks Coach","White"
"56","Alabama",2006,"David Rader","david-rader","David Rader","Offensive Coordinator/Quarterbacks Coach","White"
"57","Alabama",2007,"Major Applewhite","major-applewhite","Major Applewhite","Offensive Coordinator/Quarterbacks Coach","White"
"58","Alabama",2008,"Jim McElwain","jim-mcelwain","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White"
"59","Alabama",2008,"Joe Pendry","joe-pendry","Joe Pendry","Offensive Coordinator/Offensive Line Coach","White"
"60","Alabama",2009,"Jim McElwain","jim-mcelwain","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White"
"61","Alabama",2010,"Jim McElwain","jim-mcelwain","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White"
"62","Alabama",2011,"Jim McElwain","jim-mcelwain","Jim McElwain","Offensive Coordinator/Quarterbacks Coach","White"
"63","Alabama",2012,"Doug Nussmeier","doug-nussmeier","Doug Nussmeier","Offensive Coordinator/Quarterbacks Coach","White"
"64","Alabama",2013,"Doug Nussmeier","doug-nussmeier","Doug Nussmeier","Offensive Coordinator/Quarterbacks Coach","White"
"65","Alabama",2014,"Lane Kiffin","lane-kiffin","Lane Kiffin","Offensive Coordinator/Quarterbacks Coach","White"
"66","Alabama",2015,"Lane Kiffin","lane-kiffin","Lane Kiffin","Offensive Coordinator/Quarterbacks Coach","White"
"67","Alabama",2016,"Lane Kiffin","lane-kiffin","Lane Kiffin","Offensive Coordinator/Quarterbacks Coach","White"
"68","Alabama",2017,"Brian Daboll","brian-daboll","Brian Daboll","Offensive Coordinator/Quarterbacks Coach","White"
"69","Alabama",2017,"Mike Locksley","mike-locksley","Mike Locksley","Offensive Coordinator/Wide Receivers Coach","Black"
"70","Alabama",2018,"Josh Gattis","josh-gattis","Josh Gattis","Offensive Coordinator/Wide Receivers Coach","Black"
"71","Alabama",2018,"Mike Locksley","mike-locksley","Mike Locksley","Offensive Coordinator","Black"
"72","Alabama",2019,"Steve Sarkisian","steve-sarkisian","Steve Sarkisian","Offensive Coordinator/Quarterbacks Coach","White"
"73","Alabama",2020,"Steve Sarkisian","steve-sarkisian","Steve Sarkisian","Offensive Coordinator/Quarterbacks Coach","White"
"74","Alabama",2021,"Bill O'Brien","bill-obrien","Bill O'Brien","Offensive Coordinator/Quarterbacks Coach","White"
"75","Appalachian State",2014,"Dwayne Ledford","dwayne-ledford","Dwayne Ledford","Offensive Coordinator/Offensive Line Coach","White"
"76","Appalachian State",2014,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"77","Appalachian State",2015,"Dwayne Ledford","dwayne-ledford","Dwayne Ledford","Offensive Coordinator/Offensive Line Coach","White"
"78","Appalachian State",2015,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"79","Appalachian State",2016,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"80","Appalachian State",2016,"Shawn Clark","shawn-clark","Shawn Clark","Offensive Coordinator/Offensive Line Coach","White"
"81","Appalachian State",2017,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"82","Appalachian State",2017,"Shawn Clark","shawn-clark","Shawn Clark","Offensive Coordinator/Offensive Line Coach","White"
"83","Appalachian State",2018,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"84","Appalachian State",2018,"Shawn Clark","shawn-clark","Shawn Clark","Offensive Coordinator/Offensive Line Coach","White"
"85","Appalachian State",2020,"Tony Petersen","tony-petersen","Tony Petersen","Offensive Coordinator/Quarterbacks Coach","White"
"86","Appalachian State",2021,"Frank Ponce","frank-ponce","Frank Ponce","Offensive Coordinator/Quarterbacks Coach","White"
"87","Arizona",2000,"Dino Babers","dino-babers","Dino Babers","Offensive Coordinator/Quarterbacks Coach","Black"
"88","Arizona",2001,"Rick Dykes","rick-dykes","Rick Dykes","Offensive Coordinator/Quarterbacks Coach","White"
"89","Arizona",2002,"Rick Dykes","rick-dykes","Rick Dykes","Offensive Coordinator/Quarterbacks Coach","White"
"90","Arizona",2003,"Mike Deal","mike-deal","Mike Deal","Offensive Coordinator/Offensive Line Coach","?"
"91","Arizona",2004,"Mike Canales","mike-canales","Mike Canales","Offensive Coordinator/Quarterbacks Coach","White"
"92","Arizona",2005,"Mike Canales","mike-canales","Mike Canales","Offensive Coordinator/Quarterbacks Coach","White"
"93","Arizona",2006,"Mike Canales","mike-canales","Mike Canales","Offensive Coordinator/Quarterbacks Coach","White"
"94","Arizona",2007,"Sonny Dykes","sonny-dykes","Sonny Dykes","Offensive Coordinator/Quarterbacks Coach","White"
"95","Arizona",2008,"Sonny Dykes","sonny-dykes","Sonny Dykes","Offensive Coordinator/Quarterbacks Coach","White"
"96","Arizona",2009,"Sonny Dykes","sonny-dykes","Sonny Dykes","Offensive Coordinator/Quarterbacks Coach","White"
"97","Arizona",2010,"Bill Bedenbaugh","bill-bedenbaugh","Bill Bedenbaugh","Offensive Coordinator/Offensive Line Coach","White"
"98","Arizona",2010,"Seth Littrell","seth-littrell","Seth Littrell","Offensive Coordinator/Running Backs Coach/Tight Ends Coach","White"
"99","Arizona",2011,"Seth Littrell","seth-littrell","Seth Littrell","Offensive Coordinator/Tight Ends Coach","White"
"100","Arizona",2012,"Calvin Magee","calvin-magee","Calvin Magee","Offensive Coordinator/Running Backs Coach","Black"
"101","Arizona",2012,"Rod Smith","rod-smith","Rod Smith","Offensive Coordinator/Quarterbacks Coach","White"
