"","Coach","Race"
"970","Joe Craddock","White"
"971","Kendal Briles","White"
"972","Randy Fichtner","White"
"973","Phil Davis","White"
"974","Doug Ruse","White"
"975","Rhett Lashlee","White"
"976","Bush Hamdan","Other"
"977","Glen Elarbee","White"
"978","Buster Faulkner","White"
"979","Keith Heckendorf","White"
"980","John Bond","White"
"981","Kevin Ross","Black"
"982","Tim Walsh","White"
"983","Ian Shields","White"
"984","Brent Davis","White"
"985","Hugh Nall","White"
"986","Al Borges","White"
"987","Steve Ensminger","White"
"988","Tony Franklin","White"
"989","Dameyune Craig","Black"
"990","Kodi Burns","Black"
"991","Kenny Dillingham","White"
"992","Ted Huber","White"
"993","Rich Spisak","White"
"994","Ed Stults","White"
"995","Eddie Faulkner","Black"
"996","Rich Skrosky","White"
"997","Joey Lynch","White"
"998","Kevin Lynch","White"
"999","Greg Meyer","White"
"1000","Brent Pease","White"
"1001","Lee Hays","White"
"1002","Randy Clements","White"
"1003","Glenn Thomas","White"
"1004","Jeff Nixon","Black"
"1005","Jeff Grimes","White"
"1006","Robert Prince","Other"
"1007","Scott Huff","White"
"1008","Eric Kiesau","White"
"1009","Tim Plough","White"
"1010","Dana Bible","White"
"1011","Gary Tranquill","White"
"1012","Kevin Rogers","White"
"1013","Todd Fitch","White"
"1014","Mike Bajakian","White"
"1015","Frank Cignetti Jr.","White"
"1016","Tom Lichtenberg","White"
"1017","Greg Studrawa","White"
"1018","Mick McCall","White"
"1019","Warren Ruggiero","White"
"1020","Matt Mattox","White"
"1021","Sterlin Gilbert","White"
"1022","Mike Lynch","White"
"1023","Andy Padron","White"
"1024","Kevin Kilmer","White"
"1025","Terry Malone","White"
"1026","Charlie Donner","White"
"1027","Bill Lazor","White"
"1028","Roy Istvan","White"
"1029","Gerald Carr","Black"
"1030","Greg Forest","White"
"1031","Alex Wood","Black"
"1032","Andy Kotelnicki","White"
"1033","Lance Reynolds","White"
"1034","Roger French","White"
"1035","Mike Borich","White"
"1036","Robbie Bosco","White"
"1037","Robert Anae","White"
"1038","Brandon Doman","White"
"1039","Ty Detmer","White"
"1040","Aaron Roderick","White"
"1041","Steve Hagen","White"
"1042","George Cortez","White"
"1043","Mike Dunbar","White"
"1044","Jim Michalczik","White"
"1045","Andy Ludwig","White"
"1046","Beau Baldwin","White"
"1047","Bill Musgrave","White"
"1048","Mike Cummings","White"
"1049","Morris Watts","White"
"1050","Chris Ostrowsky","White"
"1051","Charlie Frye","White"
"1052","Kevin Barbay","White"
"1053","Jeff Mullen","White"
"1054","Alex Atkins","Black"
"1055","Mark Carney","White"
"1056","Joe Daniels","White"
"1057","Rusty Burns","White"
"1058","Eddie Gran","White"
"1059","Zac Taylor","White"
"1060","Mike Denbrock","White"
"1061","Brad Scott","White"
"1062","Mike O'Cain","White"
"1063","Rob Spence","White"
"1064","Tony Elliott","Black"
"1065","Newland Isaac","Black"
"1066","Willy Korn","White"
"1067","Shawn Watson","White"
"1068","Eric Bieniemy","Black"
"1069","Brian Lindgren","White"
"1070","Darrin Chiaverini","White"
"1071","Klayton Adams","White"
"1072","Jay Johnson","White"
"1073","Dan Hammerschmidt","White"
"1074","John Benton","White"
"1075","Dave Lay","White"
"1076","Greg Peterson","White"
"1077","Pat Meyer","White"
"1078","Will Friend","White"
"1079","Dave Johnson","White"
"1080","Jon Budmayr","White"
"1081","Marty Galbraith","White"
"1082","Peter Vaas","White"
"1083","Kurt Roper","White"
"1084","Zac Roper","White"
"1085","Jeff Faris","White"
"1086","Re'quan Boyette","Black"
"1087","Noah Brindise","White"
"1088","Steve Shankweiler","White"
"1089","Dave Nichol","White"
"1090","Donnie Kirkpatrick","White"
"1091","Pete Alamar","White"
"1092","Tim Salem","White"
"1093","Howard Feggins","Black"
"1094","Scott Isphording","White"
"1095","Ken Karcher","White"
"1096","Aaron Keen","White"
"1097","Darryl Jackson","Black"
"1098","Brian Wright","White"
"1099","Travis Trickett","White"
"1100","Charlie Weis Jr.","White"
"1101","Clint Trickett","White"
"1102","Drew Mehringer","White"
"1103","Greg Briner","White"
"1104","James Coley","White"
"1105","Bill Legg","White"
"1106","Tim Cramsey","White"
"1107","Ed Zaunbrecher","White"
"1108","Billy Gonzales","Other"
"1109","John Hevesy","White"
"1110","Brian Johnson","Black"
"1111","Michael Johnson","Black"
"1112","Andrew Breiner","White"
"1113","Jeff Bowden","White"
"1114","Lawrence Dawsey","Black"
"1115","Randy Sanders","White"
"1116","Dave Schramm","White"
"1117","Brian Schottenheimer","White"
"1118","David Dean","White"
"1119","Rance Gillespie","White"
"1120","Bryan Cook","White"
"1121","Bob DeBesse","White"
"1122","Luke Huard","White"
"1123","Brad Glenn","White"
"1124","Buddy Geis","White"
"1125","Patrick Nix","White"
"1126","Dave Patenaude","White"
"1127","Ron Lee","Other"
"1128","Tommy Lee","White"
"1129","Aaron Price","White"
"1130","Don Bailey","White"
"1131","G.J. Kinne","White"
"1132","Tony Hull","Black"
"1133","Bo Graham","White"
"1134","Clancy Barone","White"
"1135","Dave Warner","White"
"1136","Jason Phillips","Black"
"1137","Mike Nesbitt","White"
"1138","Doug Meacham","White"
"1139","Travis Bush","White"
"1140","Brandon Jones","Black"
"1141","Marquel Blackwell","Black"
"1142","Shannon Dawson","White"
"1143","Mike Schultz","White"
"1144","Chris Beatty","Black"
"1145","Hal Hunter","White"
"1146","Kevin Johns","White"
"1147","Greg Frey","White"
"1148","Grant Heard","Black"
"1149","Nick Sheridan","White"
"1150","Ken O'Keefe","White"
"1151","Greg Davis","White"
"1152","Brian Ferentz","White"
"1153","Steve Loney","White"
"1154","Steve Brickey","White"
"1155","Barney Cotton","White"
"1156","Robert McFarland","White"
"1157","Courtney Messingham","White"
"1158","Tom Manning","White"
"1159","Bill Salmon","White"
"1160","Nick Quartaro","White"
"1161","Ed Warinner","White"
"1162","John Reagan","White"
"1163","Brent Dearmon","White"
"1164","Ron Hudson","White"
"1165","Del Miller","White"
"1166","Dave Brock","White"
"1167","Andre Coleman","Black"
"1168","Charlie Dickey","White"
"1169","Collin Klein","White"
"1170","Mike Drake","White"
"1171","A.J. Pratt","White"
"1172","Brian Rock","White"
"1173","Andrew Sowder","White"
"1174","Darin Hinshaw","White"
"1175","Liam Coen","White"
"1176","Joe Dailey","Black"
"1177","Kent Austin","White"
"1178","Maurice Harris","Black"
"1179","Larry Edmondson","White"
"1180","Rob Christophel","White"
"1181","Troy Wingerter","White"
"1182","Jorge Munoz","White"
"1183","Rob Sale","White"
"1184","Michael Desormeaux","White"
"1185","Tim Leger","White"
"1186","Roger Carr","White"
"1187","Stan Humphries","White"
"1188","Tommy Condell","White"
"1189","Nate Kaczor","White"
"1190","Steve Farmer","White"
"1191","Matt Kubik","White"
"1192","Eman Naghavi","White"
"1193","Conroy Hines","White"
"1194","Frank Scelfo","White"
"1195","Joe Sloan","White"
"1196","Scott Linehan","White"
"1197","Chris Klenakis","White"
"1198","Lonnie Galloway","Black"
"1199","Mike Summers","White"
"1200","Jake Peetz","White"
"1201","Larry Kueck","White"
"1202","John Shannon","White"
"1203","Todd Goebbel","White"
"1204","Greg Adkins","White"
"1205","Bob Heffner","White"
"1206","Charlie Taaffe","White"
"1207","Angelo Mirando","White"
"1208","Eric Price","White"
"1209","Blake Miller","White"
"1210","Brad Cornelsen","White"
"1211","Chip Long","White"
"1212","Rob Chudzinski","White"
"1213","Dan Werner","White"
"1214","Thomas Brown","Black"
"1215","Ron Dugans","Black"
"1216","Greg Seamon","White"
"1217","John Klacik","?"
"1218","Eric Koehler","White"
"1219","George Barnett","White"
"1220","Tim Drevno","White"
"1221","Sherrone Moore","Black"
"1222","Dan Roushar","White"
"1223","Jim Bollman","White"
"1224","Brad Salem","White"
"1225","G.A. Mangus","White"
"1226","Willie Simmons","Black"
"1227","Mitch Browning","White"
"1228","Jeff Horton","White"
"1229","Matt Limegrover","White"
"1230","Kirk Ciarrocca","White"
"1231","Matt Simon","Black"
"1232","Sparky Woods","White"
"1233","Woody McCorvey","Black"
"1234","Luke Getsy","White"
"1235","Andy Hill","White"
"1236","David Yost","White"
"1237","Josh Henson","White"
"1238","Gene McKeehan","White"
"1239","Mike Vaught","White"
"1240","Ivin Jasper","Black"
"1241","Marc Trestman","White"
"1242","Des Kitchings","Black"
"1243","George McDonald","Black"
"1244","Tim Beck","White"
"1245","Danny Langsdorf","White"
"1246","Troy Walters","Black"
"1247","Matt Lubick","White"
"1248","Phil Earley","White"
"1249","Matt Mumme","White"
"1250","Dan Dodd","White"
"1251","Mike Degory","White"
"1252","David Reaves","White"
"1253","Derek Warehime","White"
"1254","Gerry Gdowski","White"
"1255","Gary Goff","White"
"1256","Timm Rosenbach","White"
"1257","Jerry McManus","White"
"1258","John Shoop","White"
"1259","Chris Kapilovic","White"
"1260","Gunter Brewer","White"
"1261","Phil Longo","White"
"1262","Ramon Flanigan","Black"
"1263","Todd Ford","White"
"1264","Graham Harrell","White"
"1265","Bodie Reeder","White"
"1266","Tommy Mainord","White"
"1267","Mike Bloesch","White"
"1268","Bob Cole","White"
"1269","Mike Uremovich","White"
"1270","Eric Eidsness","White"
"1271","Bill Diedrick","White"
"1272","Tommy Rees","White"
"1273","Greg Gregory","White"
"1274","Allen Rudolph","White"
"1275","Chuck Stobart","White"
"1276","Cale Gundy","White"
"1277","Trooper Taylor","Black"
"1278","Joe Wickline","White"
"1279","Mike Yurcich","White"
"1280","Sean Gleeson","White"
"1281","Brian Scott","White"
"1282","Ron Whitcomb","White"
"1283","Kirk Campbell","White"
"1284","Mike Markuson","White"
"1285","Jeff Lebby","White"
"1286","Tim Lappano","White"
"1287","John Garrett","White"
"1288","Kevin McGiven","White"
"1289","T.J. Woods","White"
"1290","Fran Ganter","White"
"1291","Galen Hall","White"
"1292","John Donovan","White"
"1293","Tyler Bowen","White"
"1294","Matt Cavanaugh","White"
"1295","Brian Brohm","White"
"1296","JaMarcus Shephard","Black"
"1297","Scott Wachenheim","White"
"1298","Billy Lynch","White"
"1299","Jerry Mack","Black"
"1300","Marques Tuiasosopo","Other"
"1301","Craig Ver Steeg","White"
"1302","John McNulty","White"
"1303","Ben McDaniels","White"
"1304","Jeff Hecklinski","White"
"1305","Steve Graf","White"
"1306","Norman Joseph","White"
"1307","Charlie Roche","White"
"1308","Barry Lunney Jr.","White"
"1309","Ken Margerum","White"
"1310","Steve Morton","White"
"1311","Tim Landis","White"
"1312","John DeFilippo","White"
"1313","Jimmie Dougherty","White"
"1314","Dan Morrison","White"
"1315","A.J. Ricker","White"
"1316","Garrett Riley","White"
"1317","Robert Matthews","White"
"1318","Bryant Vincent","White"
"1319","Richard Owens","White"
"1320","Kenny Edenfield","White"
"1321","Steve Spurrier Jr.","White"
"1322","Bryan McClendon","Black"
"1323","Marcus Satterfield","White"
"1324","Steve Buckley","White"
"1325","Scotty Walden","White"
"1326","David Kelly","Black"
"1327","Pep Hamilton","Black"
"1328","Tavita Pritchard","White"
"1329","George DeLeone","White"
"1330","Brian Pariani","White"
"1331","Brian White","White"
"1332","Nathaniel Hackett","White"
"1333","Jarrett Anderson","White"
"1334","Sonny Cumbie","White"
"1335","Curtis Luper","Black"
"1336","Charlie Fisher","White"
"1337","Willie Slater","Black"
"1338","Larry Scott","Black"
"1339","Alex Golesh","White"
"1340","Darrell Wyatt","White"
"1341","Herb Hand","White"
"1342","Nolan Cromwell","White"
"1343","Clarence McKinney","Black"
"1344","Jay Graham","Black"
"1345","Jeff Conway","White"
"1346","Adrian Mayes","Black"
"1347","Brett Elliott","White"
"1348","Jacob Peeler","White"
"1349","Eric Morris","White"
"1350","Clay McGuire","White"
"1351","Chris Hedden","White"
"1352","Mike Hallett","White"
"1353","Robert Weiner","White"
"1354","Mark Fleetwood","White"
"1355","Matt Moore","White"
"1356","Sean Reagan","White"
"1357","Ryan Pugh","White"
"1358","Luke Meadows","White"
"1359","Greg Davis Jr.","White"
"1360","Jim Gilstrap","White"
"1361","Dan Lounsbury","White"
"1362","Denver Johnson","White"
"1363","Pat Sullivan","White"
"1364","Kim Helton","White"
"1365","Brent Key","White"
"1366","Anthony Tucker","Black"
"1367","Tim Harris Jr.","Black"
"1368","Gary Bernardi","White"
"1369","Kelly Skipper","Black"
"1370","Steve Axman","White"
"1371","Tom Cable","White"
"1372","Jim Svoboda","White"
"1373","Kennedy Polamalu","Other"
"1374","Justin Frye","White"
"1375","Jerry Franks","White"
"1376","Norries Wilson","Black"
"1377","Rob Ambrose","White"
"1378","T.J. Weist","White"
"1379","Frank Verducci","White"
"1380","Frank Giufre","White"
"1381","Rob Boras","White"
"1382","Vince Alcalde","White"
"1383","Rob Phenicie","White"
"1384","Brent Myers","White"
"1385","Garin Justice","White"
"1386","Hue Jackson","Black"
"1387","John Morton","White"
"1388","Tee Martin","Black"
"1389","Mike Hobbie","White"
"1390","Darren Hiller","White"
"1391","Kerwin Bell","White"
"1392","Jim Harding","White"
"1393","Troy Taylor","White"
"1394","Mike Santiago","White"
"1395","Luke Wells","White"
"1396","Jovon Bouknight","Black"
"1397","Patrick Higgins","White"
"1398","Bob Connelly","White"
"1399","Brian Natkin","White"
"1400","Kevin Brown","White"
"1401","Jeff Kastl","White"
"1402","Steve Crosby","White"
"1403","Ted Cain","White"
"1404","Jimmy Kiser","White"
"1405","David Raih","White"
"1406","Mike Groh","White"
"1407","Bryan Stinespring","White"
"1408","Eddie Williamson","White"
"1409","Steed Lobotzke","White"
"1410","John McDonell","White"
"1411","Mike Levenseller","White"
"1412","Todd Sturdy","White"
"1413","Craig Stutzmann","Other"
"1414","Chad Scott","Black"
"1415","Gerad Parker","White"
"1416","Kevin Wright","White"
"1417","Walt Wells","White"
"1418","Zach Azzanni","White"
"1419","Junior Adams","Black"
"1420","Bryan Ellis","White"
"1421","Ryan Aplin","White"
"1422","Zach Kittley","White"
"1423","Ryan Cubit","White"
"1424","Jake Moreland","Black"
"1425","Bill Kenney","White"
"1426","Eric Evans","White"
"1427","Mike Bath","White"
"1428","Joe Rudolph","White"
"1429","Bob Cockhill","White"
"1430","Brent Vigen","White"
"1431","Tim Polasek","White"
