"","Coach","Race"
"222","Al Golden","White"
"223","Manny Diaz","Other"
"224","Shane Montgomery","White"
"225","Michael Haywood","Black"
"226","Don Treadwell","White"
"227","Chuck Martin","White"
"228","Lloyd Carr","White"
"229","Jim Harbaugh","White"
"230","Bobby Williams","Black"
"231","Andy McCollum","White"
"232","Rick Stockstill","White"
"233","Glen Mason","White"
"234","Tim Brewster","White"
"235","Jerry Kill","White"
"236","Tracy Claeys","White"
"237","P.J. Fleck","White"
"238","Jackie Sherrill","White"
"239","Sylvester Croom","Black"
"240","Joe Moorhead","White"
"241","Mike Leach","White"
"242","Larry Smith","White"
"243","Gary Pinkel","White"
"244","Barry Odom","White"
"245","Ken Niumatalolo","Other"
"246","Chuck Amato","White"
"247","Dave Doeren","White"
"248","Frank Solich","White"
"249","Bill Callahan","White"
"250","Bo Pelini","White"
"251","Mike Riley","White"
"252","Scott Frost","White"
"253","Chris Tormey","White"
"254","Chris Ault","White"
"255","Brian Polian","White"
"256","Jay Norvell","Black"
"257","Rocky Long","White"
"258","Bob Davie","White"
"259","Danny Gonzales","White"
"260","Tony Samuel","Black"
"261","DeWayne Walker","Black"
"262","Carl Torbush","White"
"263","John Bunting","White"
"264","Everett Withers","Black"
"265","Larry Fedora","White"
"266","Mack Brown","White"
"267","Darrell Dickey","White"
"268","Todd Dodge","White"
"269","Seth Littrell","White"
"270","Joe Novak","White"
"271","Rod Carey","White"
"272","Thomas Hammock","Black"
"273","Randy Walker","White"
"274","Pat Fitzgerald","White"
"275","Tyrone Willingham","Black"
"276","Brian Knorr","White"
"277","Tim Albin","White"
"278","John Cooper","White"
"279","Jim Tressel","White"
"280","Ryan Day","White"
"281","Bob Stoops","White"
"282","Lincoln Riley","White"
"283","Bob Simmons","Black"
"284","Mike Gundy","White"
"285","Bobby Wilder","White"
"286","Ricky Rahne","White"
"287","Matt Luke","White"
"288","Mike Bellotti","White"
"289","Chip Kelly","White"
"290","Mark Helfrich","White"
"291","Gary Andersen","White"
"292","Jonathan Smith","White"
"293","Joe Paterno","White"
"294","Bill O'Brien","White"
"295","James Franklin","Black"
"296","Walt Harris","White"
"297","Dave Wannstedt","White"
"298","Paul Chryst","White"
"299","Pat Narduzzi","White"
"300","Joe Tiller","White"
"301","Danny Hope","White"
"302","Jeff Brohm","White"
"303","Ken Hatfield","White"
"304","David Bailiff","White"
"305","Mike Bloomgren","White"
"306","Terry Shea","White"
"307","Greg Schiano","White"
"308","Kyle Flood","White"
"309","Chris Ash","White"
"310","Ted Tollner","White"
"311","Tom Craft","White"
"312","Chuck Long","White"
"313","Dave Baldwin","White"
"314","Fitz Hill","Black"
"315","Ron Caragher","White"
"316","Brent Brennan","White"
"317","Mike Cavan","White"
"318","Phil Bennett","White"
"319","Joey Jones","White"
"320","Steve Campbell","White"
