"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa298","Greg Brown","Arizona","White",-0.00739182175151712,0.0160779572650624,-0.0139975732811544,-0.00483397803119495
"mean_ppa299","Greg Brown","Colorado","White",-0.10290725725269,-0.0383979280471562,0.00899539662386273,-0.0164591807354321
"mean_ppa300","Greg Colby","Central Michigan","White",0.00594724201010642,0.0242923500243561,0.00043675606804644,0.0492131526127315
"mean_ppa301","Greg Gasparato","Army","White",0.142060196449331,0.0632833836701564,-0.0822585440389888,0.00686419667466581
"mean_ppa302","Greg Hudson","East Carolina","White",0.063598910843539,-0.00501922709204283,-0.0222118513468919,0.00235664056533469
"mean_ppa303","Greg Hudson","Purdue","White",-0.0939744018428353,-0.040276008814947,0.0383022065338376,-0.0267455293833017
"mean_ppa304","Greg Mattison","Michigan","White",0.00239164239361839,-0.0200358102855862,0.0229500776294943,-0.0118803028762817
"mean_ppa305","Greg Mattison","Ohio State","White",-0.0637156936064628,-0.0202708487984576,0.00310627448513204,-0.022498746046646
"mean_ppa306","Greg Robinson","Michigan","White",-0.0793551346399848,-0.0548434668555816,0.0393375995849176,-0.0676924135065983
"mean_ppa307","Greg Robinson","San José State","White",-0.0934783714843135,0.00147011866308866,0.0359541884955868,0.0668262396003875
"mean_ppa308","Greg Schiano","Ohio State","White",0.0205376128484206,0.0274628162272545,-0.0641300065774125,0.000489018591794455
"mean_ppa309","Greg Stewart","Louisiana","White",0.0407891836573266,0.0213152740633847,-0.051574327383562,-0.00608258498888026
"mean_ppa310","Greg Stewart","South Alabama","White",-0.0378334269160908,-0.0219857302143451,-0.0177462932846006,-0.0623056420354663
"mean_ppa311","Hank Hughes","Cincinnati","White",-0.126057397527057,-0.0641195743447527,0.0485083293395453,-0.026026002281574
"mean_ppa312","Hardy Nickerson","Illinois","Black",-0.0967090509625623,-0.0288794757342339,0.0220663706883887,-0.0252081571659524
"mean_ppa313","Harlon Barnett","Florida State","Black",-0.0204640902817468,-0.0330404690238131,0.0178879341534134,-0.0407219433274649
"mean_ppa314","Harlon Barnett","Michigan State","Black",-0.143120855257529,-0.0749540088126759,0.0402514732097959,-0.0742936135614168
