"","College","Coach","Role","Race","year_start","year_end","duration"
"769","Coastal Carolina","Willy Korn","Offensive Coordinator","White",2019,2021,3
"770","Colorado","Shawn Watson","Offensive Coordinator","White",2000,2005,6
"771","Colorado","Mark Helfrich","Offensive Coordinator","White",2006,2008,3
"772","Colorado","Eric Kiesau","Offensive Coordinator","White",2009,2010,2
"773","Colorado","Eric Bieniemy","Offensive Coordinator","Black",2011,2012,2
"774","Colorado","Brian Lindgren","Offensive Coordinator","White",2013,2017,5
"775","Colorado","Darrin Chiaverini","Offensive Coordinator","White",2016,2021,6
"776","Colorado","Klayton Adams","Offensive Coordinator","White",2018,2018,1
"777","Colorado","Jay Johnson","Offensive Coordinator","White",2019,2019,1
"778","Colorado State","Steve Fairchild","Offensive Coordinator","White",2000,2000,1
"779","Colorado State","Dan Hammerschmidt","Offensive Coordinator","White",2001,2007,7
"780","Colorado State","John Benton","Offensive Coordinator","White",2001,2003,3
"781","Colorado State","Dave Lay","Offensive Coordinator","White",2007,2007,1
"782","Colorado State","Greg Peterson","Offensive Coordinator","White",2008,2009,2
"783","Colorado State","Pat Meyer","Offensive Coordinator","White",2010,2011,2
"784","Colorado State","Dave Baldwin","Offensive Coordinator","White",2012,2014,3
"785","Colorado State","Will Friend","Offensive Coordinator","White",2015,2017,3
"786","Colorado State","Dave Johnson","Offensive Coordinator","White",2018,2019,2
"787","Colorado State","Joey Lynch","Offensive Coordinator","White",2020,2020,1
"788","Colorado State","Jon Budmayr","Offensive Coordinator","White",2021,2021,1
"789","Duke","Jim Pry","Offensive Coordinator","White",2003,2003,1
"790","Duke","Marty Galbraith","Offensive Coordinator","White",2004,2004,1
"791","Duke","Bill O'Brien","Offensive Coordinator","White",2005,2006,2
"792","Duke","Peter Vaas","Offensive Coordinator","White",2007,2007,1
"793","Duke","Kurt Roper","Offensive Coordinator","White",2008,2012,5
"794","Duke","Matt Luke","Offensive Coordinator","White",2008,2011,4
"795","Duke","Scottie Montgomery","Offensive Coordinator","Black",2013,2015,3
"796","Duke","Zac Roper","Offensive Coordinator","White",2016,2020,5
"797","Duke","Jeff Faris","Offensive Coordinator","White",2021,2021,1
"798","Duke","Re'quan Boyette","Offensive Coordinator","Black",2021,2021,1
"799","East Carolina","Doug Martin","Offensive Coordinator","White",2000,2002,3
"800","East Carolina","Rick Stockstill","Offensive Coordinator","White",2003,2003,1
"801","East Carolina","Noah Brindise","Offensive Coordinator","White",2004,2004,1
"802","East Carolina","Steve Shankweiler","Offensive Coordinator","White",2005,2009,5
"803","East Carolina","Todd Fitch","Offensive Coordinator","White",2007,2009,3
"804","East Carolina","Lincoln Riley","Offensive Coordinator","White",2010,2014,5
"805","East Carolina","Dave Nichol","Offensive Coordinator","White",2015,2015,1
"806","East Carolina","Tony Petersen","Offensive Coordinator","White",2016,2018,3
"807","East Carolina","Donnie Kirkpatrick","Offensive Coordinator","White",2019,2021,3
"808","Eastern Michigan","Pete Alamar","Offensive Coordinator","White",2000,2002,3
"809","Eastern Michigan","Tim Salem","Offensive Coordinator","White",2003,2003,1
"810","Eastern Michigan","Howard Feggins","Offensive Coordinator","Black",2004,2006,3
"811","Eastern Michigan","Scott Isphording","Offensive Coordinator","White",2007,2008,2
"812","Eastern Michigan","Ken Karcher","Offensive Coordinator","White",2009,2012,4
"813","Eastern Michigan","Stan Parrish","Offensive Coordinator","White",2013,2013,1
"814","Eastern Michigan","Kalen DeBoer","Offensive Coordinator","White",2014,2016,3
"815","Eastern Michigan","Aaron Keen","Offensive Coordinator","White",2017,2019,3
"816","Florida Atlantic","Gary Nord","Offensive Coordinator","White",2005,2008,4
"817","Florida Atlantic","Darryl Jackson","Offensive Coordinator","Black",2009,2011,3
"818","Florida Atlantic","Brian Wright","Offensive Coordinator","White",2012,2015,4
"819","Florida Atlantic","Travis Trickett","Offensive Coordinator","White",2016,2016,1
"820","Florida Atlantic","Kendal Briles","Offensive Coordinator","White",2017,2017,1
"821","Florida Atlantic","Charlie Weis Jr.","Offensive Coordinator","White",2018,2019,2
"822","Florida Atlantic","Clint Trickett","Offensive Coordinator","White",2020,2020,1
"823","Florida Atlantic","Drew Mehringer","Offensive Coordinator","White",2020,2020,1
"824","Florida International","Greg Briner","Offensive Coordinator","White",2005,2006,2
"825","Florida International","James Coley","Offensive Coordinator","White",2007,2007,1
"826","Florida International","Bill Legg","Offensive Coordinator","White",2008,2009,2
"827","Florida International","Scott Satterfield","Offensive Coordinator","White",2010,2011,2
"828","Florida International","Tim Cramsey","Offensive Coordinator","White",2012,2012,1
"829","Florida International","Steve Shankweiler","Offensive Coordinator","White",2014,2016,3
"830","Florida International","Rich Skrosky","Offensive Coordinator","White",2017,2020,4
"831","Florida","Buddy Teevens","Offensive Coordinator","White",2001,2001,1
"832","Florida","Ed Zaunbrecher","Offensive Coordinator","White",2002,2003,2
"833","Florida","Larry Fedora","Offensive Coordinator","White",2004,2004,1
"834","Florida","Dan Mullen","Offensive Coordinator","White",2005,2008,4
"835","Florida","Steve Addazio","Offensive Coordinator","White",2009,2010,2
"836","Florida","Charlie Weis","Offensive Coordinator","White",2011,2011,1
"837","Florida","Brent Pease","Offensive Coordinator","White",2012,2013,2
"838","Florida","Kurt Roper","Offensive Coordinator","White",2014,2014,1
"839","Florida","Doug Nussmeier","Offensive Coordinator","White",2015,2017,3
"840","Florida","Billy Gonzales","Offensive Coordinator","Other",2018,2019,2
"841","Florida","John Hevesy","Offensive Coordinator","White",2018,2019,2
"842","Florida","Brian Johnson","Offensive Coordinator","Black",2020,2020,1
"843","Florida Atlantic","Michael Johnson","Offensive Coordinator","Black",2021,2021,1
"844","Florida International","Andrew Breiner","Offensive Coordinator","White",2021,2021,1
"845","Florida State","Mark Richt","Offensive Coordinator","White",2000,2000,1
"846","Florida State","Jeff Bowden","Offensive Coordinator","White",2001,2006,6
"847","Florida State","Jimbo Fisher","Offensive Coordinator","White",2007,2009,3
"848","Florida State","James Coley","Offensive Coordinator","White",2010,2012,3
"849","Florida State","Lawrence Dawsey","Offensive Coordinator","Black",2014,2017,4
"850","Florida State","Randy Sanders","Offensive Coordinator","White",2014,2017,4
"851","Florida State","Walt Bell","Offensive Coordinator","White",2018,2018,1
"852","Florida State","Kendal Briles","Offensive Coordinator","White",2019,2019,1
"853","Florida State","Kenny Dillingham","Offensive Coordinator","White",2020,2021,2
"854","Fresno State","Andy Ludwig","Offensive Coordinator","White",2000,2001,2
"855","Fresno State","Frank Cignetti Jr.","Offensive Coordinator","White",2002,2005,4
"856","Fresno State","Steve Hagen","Offensive Coordinator","White",2006,2006,1
"857","Fresno State","Jim McElwain","Offensive Coordinator","White",2007,2007,1
"858","Fresno State","Doug Nussmeier","Offensive Coordinator","White",2008,2008,1
"859","Fresno State","Dave Schramm","Offensive Coordinator","White",2012,2015,4
"860","Fresno State","Eric Kiesau","Offensive Coordinator","White",2016,2016,1
"861","Georgia","Neil Callaway","Offensive Coordinator","White",2001,2006,6
"862","Georgia","Mike Bobo","Offensive Coordinator","White",2007,2014,8
"863","Georgia","Brian Schottenheimer","Offensive Coordinator","White",2015,2015,1
"864","Georgia","Jim Chaney","Offensive Coordinator","White",2016,2018,3
"865","Georgia","James Coley","Offensive Coordinator","White",2018,2019,2
"866","Georgia","Todd Monken","Offensive Coordinator","White",2020,2021,2
"867","Georgia Southern","Doug Ruse","Offensive Coordinator","White",2014,2021,8
"868","Georgia Southern","David Dean","Offensive Coordinator","White",2016,2016,1
"869","Georgia Southern","Rance Gillespie","Offensive Coordinator","White",2016,2016,1
"870","Georgia Southern","Bryan Cook","Offensive Coordinator","White",2017,2017,1
"871","Georgia Southern","Bob DeBesse","Offensive Coordinator","White",2018,2020,3
"872","Georgia State","Jeff Jagodzinski","Offensive Coordinator","White",2013,2015,3
"873","Georgia State","Luke Huard","Offensive Coordinator","White",2016,2016,1
"874","Georgia State","Travis Trickett","Offensive Coordinator","White",2017,2018,2
"875","Georgia State","Brad Glenn","Offensive Coordinator","White",2019,2021,3
"876","Georgia Tech","Ralph Friedgen","Offensive Coordinator","White",2000,2000,1
"877","Georgia Tech","Bill O'Brien","Offensive Coordinator","White",2001,2002,2
"878","Georgia Tech","Buddy Geis","Offensive Coordinator","White",2003,2003,1
"879","Georgia Tech","Patrick Nix","Offensive Coordinator","White",2003,2006,4
"880","Georgia Tech","John Bond","Offensive Coordinator","White",2007,2007,1
"881","Georgia Tech","Dave Patenaude","Offensive Coordinator","White",2019,2021,3
"882","Hawai'i","Ron Lee","Offensive Coordinator","Other",2008,2009,2
"883","Hawai'i","Nick Rolovich","Offensive Coordinator","White",2010,2011,2
"884","Hawai'i","Tommy Lee","Offensive Coordinator","White",2012,2012,1
"885","Hawai'i","Aaron Price","Offensive Coordinator","White",2013,2013,1
"886","Hawai'i","Don Bailey","Offensive Coordinator","White",2015,2015,1
"887","Hawai'i","Brian Smith","Offensive Coordinator","White",2016,2019,4
"888","Hawai'i","G.J. Kinne","Offensive Coordinator","White",2020,2020,1
"889","Hawai'i","Tony Hull","Offensive Coordinator","Black",2020,2020,1
"890","Hawai'i","Bo Graham","Offensive Coordinator","White",2021,2021,1
"891","Houston","Phil Davis","Offensive Coordinator","White",2000,2000,1
"892","Houston","Clancy Barone","Offensive Coordinator","White",2001,2002,2
"893","Houston","Dave Warner","Offensive Coordinator","White",2001,2002,2
"894","Houston","Philip Montgomery","Offensive Coordinator","White",2007,2007,1
"895","Houston","Randy Clements","Offensive Coordinator","White",2007,2007,1
"896","Houston","Dana Holgorsen","Offensive Coordinator","White",2008,2009,2
"897","Houston","Jason Phillips","Offensive Coordinator","Black",2008,2011,4
"898","Houston","Kliff Kingsbury","Offensive Coordinator","White",2010,2011,2
"899","Houston","Mike Nesbitt","Offensive Coordinator","White",2012,2012,1
"900","Houston","Doug Meacham","Offensive Coordinator","White",2013,2013,1
"901","Houston","Travis Bush","Offensive Coordinator","White",2013,2014,2
"902","Houston","Major Applewhite","Offensive Coordinator","White",2015,2016,2
"903","Houston","Brian Johnson","Offensive Coordinator","Black",2017,2017,1
"904","Houston","Kendal Briles","Offensive Coordinator","White",2018,2018,1
"905","Houston","Brandon Jones","Offensive Coordinator","Black",2019,2020,2
"906","Houston","Marquel Blackwell","Offensive Coordinator","Black",2019,2019,1
"907","Houston","Shannon Dawson","Offensive Coordinator","White",2020,2020,1
"908","Illinois","Mike Locksley","Offensive Coordinator","Black",2005,2008,4
"909","Illinois","Mike Schultz","Offensive Coordinator","White",2009,2009,1
"910","Illinois","Paul Petrino","Offensive Coordinator","White",2010,2011,2
"911","Illinois","Billy Gonzales","Offensive Coordinator","Other",2012,2012,1
"912","Illinois","Chris Beatty","Offensive Coordinator","Black",2012,2012,1
"913","Illinois","Bill Cubit","Offensive Coordinator","White",2013,2014,2
"914","Illinois","Garrick McGee","Offensive Coordinator","Black",2016,2017,2
"915","Illinois","Rod Smith","Offensive Coordinator","White",2018,2020,3
"916","Illinois","Tony Petersen","Offensive Coordinator","White",2021,2021,1
"917","Indiana","Hal Hunter","Offensive Coordinator","White",2000,2001,2
"918","Indiana","Al Borges","Offensive Coordinator","White",2002,2003,2
"919","Indiana","Steve Addazio","Offensive Coordinator","White",2004,2004,1
"920","Indiana","Bill Lynch","Offensive Coordinator","White",2005,2005,1
"921","Indiana","Matt Canada","Offensive Coordinator","White",2007,2010,4
"922","Indiana","Kevin Johns","Offensive Coordinator","White",2011,2016,6
"923","Indiana","Rod Smith","Offensive Coordinator","White",2011,2011,1
"924","Indiana","Seth Littrell","Offensive Coordinator","White",2012,2013,2
"925","Indiana","Greg Frey","Offensive Coordinator","White",2014,2016,3
"926","Indiana","Mike DeBord","Offensive Coordinator","White",2017,2017,1
"927","Indiana","Kalen DeBoer","Offensive Coordinator","White",2019,2019,1
"928","Indiana","Grant Heard","Offensive Coordinator","Black",2020,2021,2
"929","Indiana","Nick Sheridan","Offensive Coordinator","White",2020,2021,2
"930","Iowa","Ken O'Keefe","Offensive Coordinator","White",2000,2011,12
"931","Iowa","Greg Davis","Offensive Coordinator","White",2012,2016,5
"932","Iowa","Brian Ferentz","Offensive Coordinator","White",2017,2021,5
"933","Iowa State","Steve Loney","Offensive Coordinator","White",2000,2001,2
"934","Iowa State","Steve Brickey","Offensive Coordinator","White",2002,2003,2
"935","Iowa State","Barney Cotton","Offensive Coordinator","White",2004,2005,2
"936","Iowa State","Robert McFarland","Offensive Coordinator","White",2007,2008,2
"937","Iowa State","Tom Herman","Offensive Coordinator","White",2009,2011,3
"938","Iowa State","Courtney Messingham","Offensive Coordinator","White",2012,2013,2
"939","Iowa State","Mark Mangino","Offensive Coordinator","White",2014,2015,2
"940","Iowa State","Tom Manning","Offensive Coordinator","White",2016,2021,6
"941","Kansas","Bill Salmon","Offensive Coordinator","White",2000,2000,1
"942","Kansas","Rip Scherer","Offensive Coordinator","White",2001,2001,1
"943","Kansas","Nick Quartaro","Offensive Coordinator","White",2002,2006,5
"944","Kansas","Ed Warinner","Offensive Coordinator","White",2007,2009,3
"945","Kansas","Chuck Long","Offensive Coordinator","White",2010,2011,2
"946","Kansas","David Beaty","Offensive Coordinator","White",2011,2011,1
"947","Kansas","John Reagan","Offensive Coordinator","White",2014,2014,1
"948","Kansas","Rob Likens","Offensive Coordinator","White",2015,2016,2
"949","Kansas","Doug Meacham","Offensive Coordinator","White",2017,2018,2
"950","Kansas","Les Koenning","Offensive Coordinator","White",2019,2019,1
"951","Kansas","Brent Dearmon","Offensive Coordinator","White",2020,2020,1
"952","Kansas","Andy Kotelnicki","Offensive Coordinator","White",2021,2021,1
"953","Kansas State","Ron Hudson","Offensive Coordinator","White",2000,2002,3
"954","Kansas State","Del Miller","Offensive Coordinator","White",2003,2016,14
"955","Kansas State","Greg Peterson","Offensive Coordinator","White",2003,2004,2
"956","Kansas State","James Franklin","Offensive Coordinator","Black",2006,2007,2
"957","Kansas State","Dave Brock","Offensive Coordinator","White",2008,2008,1
"958","Kansas State","Dana Dimel","Offensive Coordinator","White",2009,2017,9
"959","Kansas State","Andre Coleman","Offensive Coordinator","Black",2018,2018,1
"960","Kansas State","Charlie Dickey","Offensive Coordinator","White",2018,2018,1
"961","Kansas State","Collin Klein","Offensive Coordinator","White",2018,2018,1
"962","Kansas State","Courtney Messingham","Offensive Coordinator","White",2019,2021,3
"963","Kent State","Mike Drake","Offensive Coordinator","White",2000,2003,4
"964","Kent State","Doug Martin","Offensive Coordinator","White",2003,2003,1
"965","Kent State","A.J. Pratt","Offensive Coordinator","White",2009,2009,1
"966","Kent State","Brian Rock","Offensive Coordinator","White",2013,2013,1
"967","Kent State","Don Treadwell","Offensive Coordinator","White",2015,2017,3
"968","Kent State","Andrew Sowder","Offensive Coordinator","White",2018,2021,4
"969","Kentucky","Tony Franklin","Offensive Coordinator","White",2000,2000,1
"970","Kentucky","Brent Pease","Offensive Coordinator","White",2001,2002,2
"971","Kentucky","Ron Hudson","Offensive Coordinator","White",2003,2004,2
"972","Kentucky","Joker Phillips","Offensive Coordinator","Black",2005,2009,5
"973","Kentucky","Randy Sanders","Offensive Coordinator","White",2009,2012,4
"974","Kentucky","Neal Brown","Offensive Coordinator","White",2013,2014,2
"975","Kentucky","Shannon Dawson","Offensive Coordinator","White",2015,2015,1
"976","Kentucky","Darin Hinshaw","Offensive Coordinator","White",2016,2020,5
"977","Kentucky","Eddie Gran","Offensive Coordinator","White",2016,2019,4
"978","Kentucky","Liam Coen","Offensive Coordinator","White",2021,2021,1
"979","Liberty","Joe Dailey","Offensive Coordinator","Black",2018,2018,1
"980","Liberty","Kent Austin","Offensive Coordinator","White",2019,2021,3
"981","Liberty","Maurice Harris","Offensive Coordinator","Black",2019,2021,3
"982","Louisiana","Larry Edmondson","Offensive Coordinator","White",2000,2001,2
"983","Louisiana","Rob Christophel","Offensive Coordinator","White",2002,2006,5
"984","Louisiana","Blake Anderson","Offensive Coordinator","White",2007,2007,1
"985","Louisiana","Troy Wingerter","Offensive Coordinator","White",2008,2008,1
"986","Louisiana","Ron Hudson","Offensive Coordinator","White",2009,2010,2
"987","Louisiana","Jay Johnson","Offensive Coordinator","White",2011,2015,5
"988","Louisiana","Jorge Munoz","Offensive Coordinator","White",2016,2016,1
"989","Louisiana","Will Hall","Offensive Coordinator","White",2017,2017,1
"990","Louisiana","Rob Sale","Offensive Coordinator","White",2018,2020,3
"991","Louisiana","Michael Desormeaux","Offensive Coordinator","White",2021,2021,1
"992","Louisiana","Tim Leger","Offensive Coordinator","White",2021,2021,1
"993","Louisiana Monroe","Roger Carr","Offensive Coordinator","White",2000,2000,1
"994","Louisiana Monroe","Stan Humphries","Offensive Coordinator","White",2001,2001,1
"995","Louisiana Monroe","Tommy Condell","Offensive Coordinator","White",2002,2003,2
"996","Louisiana Monroe","Todd Berry","Offensive Coordinator","White",2004,2005,2
"997","Louisiana Monroe","Nate Kaczor","Offensive Coordinator","White",2007,2007,1
"998","Louisiana Monroe","Steve Farmer","Offensive Coordinator","White",2007,2015,9
"999","Louisiana Monroe","Matt Kubik","Offensive Coordinator","White",2016,2019,4
"1000","Louisiana Monroe","Eman Naghavi","Offensive Coordinator","White",2020,2020,1
"1001","Louisiana Tech","Conroy Hines","Offensive Coordinator","White",2000,2006,7
"1002","Louisiana Tech","Rob Spence","Offensive Coordinator","White",2000,2000,1
"1003","Louisiana Tech","Frank Scelfo","Offensive Coordinator","White",2007,2009,3
"1004","Louisiana Tech","Tony Franklin","Offensive Coordinator","White",2010,2012,3
"1005","Louisiana Tech","Tony Petersen","Offensive Coordinator","White",2013,2015,3
"1006","Louisiana Tech","Todd Fitch","Offensive Coordinator","White",2016,2019,4
"1007","Louisiana Tech","Joe Sloan","Offensive Coordinator","White",2020,2021,2
"1008","Louisville","Scott Linehan","Offensive Coordinator","White",2000,2001,2
"1009","Louisville","John Pettas","Offensive Coordinator","White",2002,2002,1
"1010","Louisville","Paul Petrino","Offensive Coordinator","White",2003,2006,4
"1011","Louisville","Charlie Stubbs","Offensive Coordinator","White",2007,2007,1
"1012","Louisville","Jeff Brohm","Offensive Coordinator","White",2008,2008,1
"1013","Louisville","Mike Sanford Sr.","Offensive Coordinator","White",2011,2011,1
"1014","Louisville","Shawn Watson","Offensive Coordinator","White",2012,2013,2
"1015","Louisville","Garrick McGee","Offensive Coordinator","Black",2014,2015,2
"1016","Louisville","Chris Klenakis","Offensive Coordinator","White",2016,2016,1
"1017","Louisville","Lonnie Galloway","Offensive Coordinator","Black",2016,2018,3
"1018","Louisville","Mike Summers","Offensive Coordinator","White",2017,2018,2
"1019","Louisville","Dwayne Ledford","Offensive Coordinator","White",2019,2020,2
"1020","LSU","Jimbo Fisher","Offensive Coordinator","White",2000,2006,7
"1021","LSU","Gary Crowton","Offensive Coordinator","White",2007,2010,4
"1022","LSU","Greg Studrawa","Offensive Coordinator","White",2011,2012,2
"1023","LSU","Cam Cameron","Offensive Coordinator","White",2013,2016,4
"1024","LSU","Steve Ensminger","Offensive Coordinator","White",2016,2020,5
"1025","LSU","Matt Canada","Offensive Coordinator","White",2017,2017,1
"1026","LSU","Jake Peetz","Offensive Coordinator","White",2021,2021,1
"1027","Marshall","Ed Zaunbrecher","Offensive Coordinator","White",2000,2001,2
"1028","Marshall","Larry Kueck","Offensive Coordinator","White",2004,2007,4
"1029","Marshall","John Shannon","Offensive Coordinator","White",2008,2009,2
"1030","Marshall","Bill Legg","Offensive Coordinator","White",2010,2017,8
"1031","Marshall","Todd Goebbel","Offensive Coordinator","White",2017,2017,1
"1032","Marshall","Tim Cramsey","Offensive Coordinator","White",2018,2021,4
"1033","Marshall","Greg Adkins","Offensive Coordinator","White",2020,2020,1
"1034","Maryland","Bob Heffner","Offensive Coordinator","White",2000,2000,1
"1035","Maryland","Mike Gundy","Offensive Coordinator","White",2000,2000,1
"1036","Maryland","Charlie Taaffe","Offensive Coordinator","White",2001,2005,5
"1037","Maryland","James Franklin","Offensive Coordinator","Black",2008,2010,3
"1038","Maryland","Gary Crowton","Offensive Coordinator","White",2011,2011,1
"1039","Maryland","Mike Locksley","Offensive Coordinator","Black",2012,2014,3
"1040","Maryland","Walt Bell","Offensive Coordinator","White",2016,2017,2
"1041","Maryland","Chris Beatty","Offensive Coordinator","Black",2018,2018,1
"1042","Maryland","Joker Phillips","Offensive Coordinator","Black",2019,2020,2
"1043","Maryland","Scottie Montgomery","Offensive Coordinator","Black",2019,2020,2
"1044","Maryland","Dan Enos","Offensive Coordinator","White",2021,2021,1
"1045","UMass","Mike Kruczek","Offensive Coordinator","White",2012,2012,1
"1046","UMass","John Bond","Offensive Coordinator","White",2013,2013,1
"1047","UMass","Angelo Mirando","Offensive Coordinator","White",2020,2020,1
"1048","Memphis","Randy Fichtner","Offensive Coordinator","White",2001,2006,6
"1049","Memphis","Clay Helton","Offensive Coordinator","White",2007,2009,3
"1050","Memphis","Eric Price","Offensive Coordinator","White",2010,2011,2
"1051","Memphis","Blake Miller","Offensive Coordinator","White",2011,2011,1
"1052","Memphis","Darrell Dickey","Offensive Coordinator","White",2012,2017,6
"1053","Memphis","Brad Cornelsen","Offensive Coordinator","White",2015,2015,1
"1054","Memphis","Chip Long","Offensive Coordinator","White",2016,2016,1
"1055","Memphis","Kenny Dillingham","Offensive Coordinator","White",2018,2018,1
"1056","Memphis","Kevin Johns","Offensive Coordinator","White",2019,2021,3
"1057","Miami","Larry Coker","Offensive Coordinator","White",2000,2000,1
"1058","Miami","Rob Chudzinski","Offensive Coordinator","White",2001,2003,3
"1059","Miami","Dan Werner","Offensive Coordinator","White",2004,2005,2
"1060","Miami","Rich Olson","Offensive Coordinator","White",2006,2006,1
"1061","Miami","Patrick Nix","Offensive Coordinator","White",2007,2008,2
"1062","Miami","Mark Whipple","Offensive Coordinator","White",2009,2010,2
"1063","Miami","Jedd Fisch","Offensive Coordinator","White",2011,2012,2
"1064","Miami","James Coley","Offensive Coordinator","White",2013,2015,3
"1065","Miami","Thomas Brown","Offensive Coordinator","Black",2016,2018,3
"1066","Miami","Ron Dugans","Offensive Coordinator","Black",2018,2018,1
"1067","Miami","Dan Enos","Offensive Coordinator","White",2019,2019,1
"1068","Miami","Rhett Lashlee","Offensive Coordinator","White",2020,2021,2
"1069","Miami (OH)","Greg Seamon","Offensive Coordinator","White",2000,2000,1
"1070","Miami (OH)","Shane Montgomery","Offensive Coordinator","White",2001,2004,4
"1071","Miami (OH)","Peter Vaas","Offensive Coordinator","White",2009,2009,1
"1072","Miami (OH)","Morris Watts","Offensive Coordinator","White",2010,2010,1
"1073","Miami (OH)","John Klacik","Offensive Coordinator","Other",2011,2013,3
"1074","Miami (OH)","Eric Koehler","Offensive Coordinator","White",2014,2021,8
"1075","Miami (OH)","George Barnett","Offensive Coordinator","White",2014,2020,7
"1076","Michigan","Stan Parrish","Offensive Coordinator","White",2000,2001,2
"1077","Michigan","Terry Malone","Offensive Coordinator","White",2002,2005,4
"1078","Michigan","Mike DeBord","Offensive Coordinator","White",2006,2007,2
"1079","Michigan","Calvin Magee","Offensive Coordinator","Black",2008,2010,3
"1080","Michigan","Al Borges","Offensive Coordinator","White",2011,2013,3
"1081","Michigan","Doug Nussmeier","Offensive Coordinator","White",2014,2014,1
"1082","Michigan","Tim Drevno","Offensive Coordinator","White",2015,2017,3
"1083","Michigan","Josh Gattis","Offensive Coordinator","Black",2019,2021,3
"1084","Michigan","Sherrone Moore","Offensive Coordinator","Black",2021,2021,1
"1085","Michigan State","Morris Watts","Offensive Coordinator","White",2000,2001,2
"1086","Michigan State","Dave Baldwin","Offensive Coordinator","White",2003,2006,4
"1087","Michigan State","Don Treadwell","Offensive Coordinator","White",2007,2010,4
"1088","Michigan State","Dan Roushar","Offensive Coordinator","White",2011,2012,2
"1089","Michigan State","Dave Warner","Offensive Coordinator","White",2013,2018,6
"1090","Michigan State","Jim Bollman","Offensive Coordinator","White",2013,2018,6
"1091","Michigan State","Brad Salem","Offensive Coordinator","White",2019,2019,1
"1092","Michigan State","Jay Johnson","Offensive Coordinator","White",2020,2021,2
"1093","Middle Tennessee","Larry Fedora","Offensive Coordinator","White",2000,2001,2
"1094","Middle Tennessee","Steve Campbell","Offensive Coordinator","White",2002,2002,1
"1095","Middle Tennessee","Blake Anderson","Offensive Coordinator","White",2003,2004,2
"1096","Middle Tennessee","Darin Hinshaw","Offensive Coordinator","White",2003,2005,3
"1097","Middle Tennessee","G.A. Mangus","Offensive Coordinator","White",2006,2008,3
"1098","Middle Tennessee","Tony Franklin","Offensive Coordinator","White",2009,2020,12
"1099","Middle Tennessee","Mike Schultz","Offensive Coordinator","White",2010,2010,1
"1100","Middle Tennessee","Willie Simmons","Offensive Coordinator","Black",2011,2011,1
"1101","Middle Tennessee","Buster Faulkner","Offensive Coordinator","White",2012,2015,4
"1102","Middle Tennessee","Brent Dearmon","Offensive Coordinator","White",2021,2021,1
"1103","Minnesota","Mitch Browning","Offensive Coordinator","White",2000,2006,7
"1104","Minnesota","Tony Petersen","Offensive Coordinator","White",2000,2005,6
"1105","Minnesota","Mike Dunbar","Offensive Coordinator","White",2007,2008,2
"1106","Minnesota","Jedd Fisch","Offensive Coordinator","White",2009,2009,1
"1107","Minnesota","Jeff Horton","Offensive Coordinator","White",2010,2010,1
"1108","Minnesota","Thomas Hammock","Offensive Coordinator","Black",2010,2010,1
"1109","Minnesota","Matt Limegrover","Offensive Coordinator","White",2011,2015,5
"1110","Minnesota","Jay Johnson","Offensive Coordinator","White",2016,2016,1
"1111","Minnesota","Kirk Ciarrocca","Offensive Coordinator","White",2017,2019,3
"1112","Minnesota","Matt Simon","Offensive Coordinator","Black",2020,2021,2
"1113","Minnesota","Mike Sanford Jr.","Offensive Coordinator","White",2020,2021,2
"1114","Mississippi State","Sparky Woods","Offensive Coordinator","White",2000,2002,3
"1115","Mississippi State","Morris Watts","Offensive Coordinator","White",2003,2003,1
"1116","Mississippi State","Woody McCorvey","Offensive Coordinator","Black",2004,2008,5
"1117","Mississippi State","Les Koenning","Offensive Coordinator","White",2009,2013,5
"1118","Mississippi State","Billy Gonzales","Offensive Coordinator","Other",2014,2017,4
"1119","Mississippi State","John Hevesy","Offensive Coordinator","White",2014,2017,4
"1120","Mississippi State","Luke Getsy","Offensive Coordinator","White",2018,2018,1
"1121","Missouri","Andy Hill","Offensive Coordinator","White",2000,2000,1
"1122","Missouri","Bill Cubit","Offensive Coordinator","White",2000,2000,1
"1123","Missouri","Dave Christensen","Offensive Coordinator","White",2001,2008,8
"1124","Missouri","David Yost","Offensive Coordinator","White",2009,2012,4
"1125","Missouri","Josh Henson","Offensive Coordinator","White",2013,2015,3
"1126","Missouri","Josh Heupel","Offensive Coordinator","White",2016,2017,2
"1127","Missouri","Derek Dooley","Offensive Coordinator","White",2018,2019,2
"1128","Navy","Gene McKeehan","Offensive Coordinator","White",2000,2000,1
"1129","Navy","Mike Vaught","Offensive Coordinator","White",2000,2000,1
"1130","Navy","Mark Hudspeth","Offensive Coordinator","White",2001,2001,1
"1131","Navy","Ivin Jasper","Offensive Coordinator","Black",2008,2021,14
"1132","NC State","Norm Chow","Offensive Coordinator","Other",2000,2000,1
"1133","NC State","Marty Galbraith","Offensive Coordinator","White",2001,2002,2
"1134","NC State","Noel Mazzone","Offensive Coordinator","White",2003,2004,2
"1135","NC State","Marc Trestman","Offensive Coordinator","White",2005,2006,2
"1136","NC State","Dana Bible","Offensive Coordinator","White",2007,2012,6
"1137","NC State","Matt Canada","Offensive Coordinator","White",2013,2015,3
"1138","NC State","Eliah Drinkwitz","Offensive Coordinator","White",2016,2018,3
"1139","NC State","Des Kitchings","Offensive Coordinator","Black",2019,2019,1
"1140","NC State","George McDonald","Offensive Coordinator","Black",2019,2019,1
"1141","NC State","Tim Beck","Offensive Coordinator","White",2020,2021,2
