"","College","Coach","Role","Race","year_start","year_end","duration"
"97","Charlotte","Will Healy","Head Coach","White",2019,2021,3
"98","Cincinnati","Rick Minter","Head Coach","White",2000,2003,4
"99","Cincinnati","Mark Dantonio","Head Coach","White",2004,2006,3
"100","Cincinnati","Brian Kelly","Head Coach","White",2007,2009,3
"101","Cincinnati","Butch Jones","Head Coach","White",2010,2012,3
"102","Cincinnati","Tommy Tuberville","Head Coach","White",2013,2016,4
"103","Cincinnati","Luke Fickell","Head Coach","White",2017,2021,5
"104","Clemson","Tommy Bowden","Head Coach","White",2000,2008,9
"105","Clemson","Dabo Swinney","Head Coach","White",2009,2021,13
"106","Coastal Carolina","Joe Moglia","Head Coach","White",2017,2018,2
"107","Coastal Carolina","Jamey Chadwell","Head Coach","White",2019,2021,3
"108","Colorado","Gary Barnett","Head Coach","White",2000,2005,6
"109","Colorado","Dan Hawkins","Head Coach","White",2006,2010,5
"110","Colorado","Jon Embree","Head Coach","Black",2011,2012,2
"111","Colorado","Mike MacIntyre","Head Coach","White",2013,2018,6
"112","Colorado","Mel Tucker","Head Coach","Black",2019,2019,1
"113","Colorado","Karl Dorrell","Head Coach","Black",2020,2021,2
"114","Colorado State","Sonny Lubick","Head Coach","White",2000,2007,8
"115","Colorado State","Steve Fairchild","Head Coach","White",2008,2011,4
"116","Colorado State","Jim McElwain","Head Coach","White",2012,2014,3
"117","Colorado State","Mike Bobo","Head Coach","White",2015,2019,5
"118","Colorado State","Steve Addazio","Head Coach","White",2020,2021,2
"119","Duke","Carl Franks","Head Coach","White",2000,2003,4
"120","Duke","Ted Roof","Head Coach","White",2004,2007,4
"121","Duke","David Cutcliffe","Head Coach","White",2008,2021,14
"122","East Carolina","Steve Logan","Head Coach","White",2000,2002,3
"123","East Carolina","John Thompson","Head Coach","White",2003,2004,2
"124","East Carolina","Skip Holtz","Head Coach","White",2005,2009,5
"125","East Carolina","Ruffin McNeill","Head Coach","Black",2010,2015,6
"126","East Carolina","Scottie Montgomery","Head Coach","Black",2016,2018,3
"127","East Carolina","Mike Houston","Head Coach","White",2019,2021,3
