"","from","to","weight"
"2002","Todd Berry","Adam Waugh",1
"2003","Todd Berry","Dennis Therrell",4
"2004","Todd Berry","John Bond",4
"2005","Todd Berry","Steve Farmer",5
"2006","Todd Berry","Troy Reffett",5
"2007","Todd Dodge","Gary DeLoach",3
"2008","Todd Dodge","Ron Mendoza",1
"2009","Todd Dodge","Todd Ford",3
"2010","Todd Graham","Billy Napier",1
"2011","Todd Graham","Bo Graham",1
"2012","Todd Graham","Calvin Magee",1
"2013","Todd Graham","Chad Morris",1
"2014","Todd Graham","Chip Lindsey",1
"2015","Todd Graham","Chris Ball",3
"2016","Todd Graham","G.J. Kinne",1
"2017","Todd Graham","Gus Malzahn",2
"2018","Todd Graham","Herb Hand",4
"2019","Todd Graham","Jacob Yoro",1
"2020","Todd Graham","Keith Patterson",7
"2021","Todd Graham","Major Applewhite",1
"2022","Todd Graham","Mike Norvell",5
"2023","Todd Graham","Paul Randolph",5
"2024","Todd Graham","Phil Bennett",1
"2025","Todd Graham","Rob Likens",1
"2026","Todd Graham","Ron West",2
"2027","Todd Graham","Tony Hull",1
"2028","Todd Graham","Victor Santa Cruz",1
"2029","Todd Monken","Chip Lindsey",2
"2030","Todd Monken","David Duggan",3
"2031","Todd Monken","Marcus Arroyo",1
"2032","Tom Allen","Charlton Warren",1
"2033","Tom Allen","Grant Heard",2
"2034","Tom Allen","Kalen DeBoer",1
"2035","Tom Allen","Kane Wommack",2
"2036","Tom Allen","Kevin Peoples",1
"2037","Tom Allen","Mark Hagen",3
"2038","Tom Allen","Mike DeBord",1
"2039","Tom Allen","Nick Sheridan",2
"2040","Tom Allen","William Inge",1
"2041","Tom Amstutz","Chris Hedden",1
"2042","Tom Amstutz","John Shannon",3
"2043","Tom Amstutz","Lou West",4
"2044","Tom Amstutz","Tim Rose",4
"2045","Tom Arth","A.J. Milwee",1
"2046","Tom Arth","Bryan Gasser",1
"2047","Tom Arth","Joe Tresey",1
"2048","Tom Arth","Matt Feeney",3
"2049","Tom Arth","Tommy Zagorski",2
"2050","Tom Craft","Thom Kaumeyer",4
"2051","Tom Herman","Chris Ash",1
"2052","Tom Herman","Coleman Hutzler",1
"2053","Tom Herman","Craig Naivar",2
"2054","Tom Herman","Herb Hand",3
"2055","Tom Herman","Major Applewhite",2
"2056","Tom Herman","Mike Yurcich",1
"2057","Tom Herman","Tim Beck",3
"2058","Tom Herman","Todd Orlando",5
"2059","Tom Holmoe","Al Borges",1
"2060","Tom Holmoe","Lyle Setencich",2
"2061","Tom Holmoe","Steve Hagen",1
"2062","Tom O'Brien","Dana Bible",13
"2063","Tom O'Brien","Frank Spaziani",7
"2064","Tom O'Brien","Mike Archer",6
"2065","Tommy Bowden","Brad Scott",1
"2066","Tommy Bowden","John Lovett",3
"2067","Tommy Bowden","Mike O'Cain",1
"2068","Tommy Bowden","Reggie Herring",2
"2069","Tommy Bowden","Rob Spence",4
"2070","Tommy Bowden","Vic Koenning",4
"2071","Tommy Tuberville","Al Borges",4
"2072","Tommy Tuberville","Art Kaufman",2
"2073","Tommy Tuberville","Bobby Petrino",1
"2074","Tommy Tuberville","Chad Glasgow",1
"2075","Tommy Tuberville","David Gibbs",1
"2076","Tommy Tuberville","Eddie Gran",3
"2077","Tommy Tuberville","Gene Chizik",3
"2078","Tommy Tuberville","Hank Hughes",1
"2079","Tommy Tuberville","Hugh Nall",1
"2080","Tommy Tuberville","James Willis",1
"2081","Tommy Tuberville","John Lovett",2
"2082","Tommy Tuberville","Neal Brown",3
"2083","Tommy Tuberville","Noel Mazzone",2
"2084","Tommy Tuberville","Paul Rhoads",1
"2085","Tommy Tuberville","Robert Prunty",3
"2086","Tommy Tuberville","Steve Clinkscale",1
"2087","Tommy Tuberville","Steve Ensminger",1
"2088","Tommy Tuberville","Tony Franklin",1
"2089","Tommy Tuberville","Will Muschamp",2
"2090","Tommy Tuberville","Zac Taylor",1
"2091","Tommy West","Clay Helton",3
"2092","Tommy West","Joe Lee Dunn",4
"2093","Tommy West","Kenny Ingram",1
"2094","Tommy West","Randy Fichtner",6
"2095","Tommy West","Rick Kravitz",1
"2096","Tommy West","Rick Whitt",2
"2097","Tommy West","Tim Walton",1
"2098","Tony Levine","David Gibbs",2
"2099","Tony Levine","Doug Meacham",1
"2100","Tony Levine","Jamie Bryant",1
"2101","Tony Levine","Mike Nesbitt",1
"2102","Tony Levine","Travis Bush",2
"2103","Tony Samuel","Gerry Gdowski",2
"2104","Tony Samuel","Ross Els",2
"2105","Tony Samuel","Steve Stanard",3
"2106","Tony Sanchez","Barney Cotton",4
"2107","Tony Sanchez","Garin Justice",1
"2108","Tony Sanchez","Kent Baer",3
"2109","Tony Sanchez","Tim Skipper",2
"2110","Tracy Claeys","Jay Johnson",1
"2111","Tracy Claeys","Jay Sawvel",1
"2112","Trent Miles","Jeff Jagodzinski",3
"2113","Trent Miles","Jesse Minter",4
"2114","Trent Miles","Luke Huard",1
"2115","Troy Calhoun","Blane Morgan",6
"2116","Troy Calhoun","Clay Hendrix",3
"2117","Troy Calhoun","John Rudzinski",4
"2118","Troy Calhoun","Mike Thiessen",10
"2119","Troy Calhoun","Tim DeRuyter",2
"2120","Troy Calhoun","Tim Horton",1
"2121","Turner Gill","Buddy Wyatt",1
"2122","Turner Gill","Carl Torbush",1
"2123","Turner Gill","Chuck Long",2
"2124","Turner Gill","David Beaty",1
"2125","Turner Gill","Fred Reed",1
"2126","Turner Gill","Gerald Carr",1
"2127","Turner Gill","Jimmy Williams",3
"2128","Turner Gill","Joe Dailey",1
"2129","Turner Gill","Robert Wimberly",1
"2130","Turner Gill","Vantz Singletary",1
"2131","Turner Gill","Vic Shealy",1
"2132","Tyrone Willingham","Bill Diedrick",5
"2133","Tyrone Willingham","Ed Donatell",1
"2134","Tyrone Willingham","Kent Baer",8
"2135","Tyrone Willingham","Tim Lappano",4
"2136","Tyson Helton","Bryan Ellis",3
"2137","Tyson Helton","Clayton White",2
"2138","Tyson Helton","Maurice Crum Jr.",2
"2139","Tyson Helton","Ryan Aplin",1
"2140","Tyson Helton","Zach Kittley",1
"2141","Tyson Summers","Bryan Cook",1
"2142","Tyson Summers","David Dean",1
"2143","Tyson Summers","Lorenzo Costantini",2
"2144","Tyson Summers","Rance Gillespie",1
"2145","Urban Meyer","Alex Grinch",1
"2146","Urban Meyer","Charlie Strong",5
"2147","Urban Meyer","Chris Ash",2
"2148","Urban Meyer","Chuck Heater",1
"2149","Urban Meyer","Dan Mullen",4
"2150","Urban Meyer","Ed Warinner",5
"2151","Urban Meyer","Everett Withers",2
"2152","Urban Meyer","Greg Mattison",3
"2153","Urban Meyer","Greg Schiano",3
"2154","Urban Meyer","Kevin Wilson",2
"2155","Urban Meyer","Kyle Whittingham",2
"2156","Urban Meyer","Luke Fickell",5
"2157","Urban Meyer","Mike Sanford Sr.",2
"2158","Urban Meyer","Ryan Day",2
"2159","Urban Meyer","Steve Addazio",2
"2160","Urban Meyer","Teryl Austin",1
"2161","Urban Meyer","Tim Beck",2
"2162","Urban Meyer","Tim Beckman",2
"2163","Urban Meyer","Tom Herman",3
"2164","Vic Koenning","Matt Wallerstedt",3
"2165","Vic Koenning","Rusty Burns",2
"2166","Walt Bell","Aazaar Abdul-Rahim",1
"2167","Walt Bell","Angelo Mirando",1
"2168","Walt Bell","Tommy Restivo",3
"2169","Walt Harris","A.J. Christoff",1
"2170","Walt Harris","J.D. Brookhart",4
"2171","Walt Harris","Paul Rhoads",5
"2172","Walt Harris","Tom Hayes",1
"2173","Watson Brown","Bill Clay",1
"2174","Watson Brown","Pat Sullivan",7
"2175","Watson Brown","Rick Christophel",3
"2176","Watson Brown","Wayne Bolt",3
"2177","Will Hall","Austin Armstrong",1
"2178","Will Healy","Alex Atkins",1
"2179","Will Healy","Brandon Cooper",3
"2180","Will Healy","Marcus West",1
"2181","Will Healy","Mark Carney",2
"2182","Will Muschamp","Brent Pease",2
"2183","Will Muschamp","Bryan McClendon",4
"2184","Will Muschamp","Charlie Weis",1
"2185","Will Muschamp","D.J. Durkin",2
"2186","Will Muschamp","Dan Quinn",2
"2187","Will Muschamp","Kurt Roper",3
"2188","Will Muschamp","Travaris Robinson",5
"2189","Willie Fritz","Chip Long",1
"2190","Willie Fritz","Chris Hampton",1
"2191","Willie Fritz","Doug Ruse",5
"2192","Willie Fritz","Jack Curtis",7
"2193","Willie Fritz","Will Hall",2
"2194","Willie Taggart","Clint Bowen",1
"2195","Willie Taggart","Clint Trickett",1
"2196","Willie Taggart","Danny Hope",1
"2197","Willie Taggart","Darren Hiller",1
"2198","Willie Taggart","David Reaves",1
"2199","Willie Taggart","Drew Mehringer",1
"2200","Willie Taggart","Harlon Barnett",2
"2201","Willie Taggart","Jim Leavitt",2
"2202","Willie Taggart","Kendal Briles",1
"2203","Willie Taggart","Lance Guidry",2
"2204","Willie Taggart","Marcus Arroyo",1
"2205","Willie Taggart","Mario Cristobal",1
"2206","Willie Taggart","Michael Johnson",1
"2207","Willie Taggart","Mike Stoops",1
"2208","Willie Taggart","Raymond Woodie",1
"2209","Willie Taggart","T.J. Weist",1
"2210","Willie Taggart","Tom Allen",1
"2211","Willie Taggart","Walt Bell",1
"2212","Willie Taggart","Zach Azzanni",1
"2213","Woody Widenhofer","Herb Paterra",2
"2214","Woody Widenhofer","Steve Crosby",2
