"","College","Coach","Role","Race","year_start","year_end"
"101","Cincinnati","Butch Jones","Head Coach","White",2010,2012
"102","Cincinnati","Tommy Tuberville","Head Coach","White",2013,2016
"103","Cincinnati","Luke Fickell","Head Coach","White",2017,2021
"104","Clemson","Tommy Bowden","Head Coach","White",2000,2008
"105","Clemson","Dabo Swinney","Head Coach","White",2009,2021
"106","Coastal Carolina","Joe Moglia","Head Coach","White",2017,2018
"107","Coastal Carolina","Jamey Chadwell","Head Coach","White",2019,2021
"108","Colorado","Gary Barnett","Head Coach","White",2000,2005
"109","Colorado","Dan Hawkins","Head Coach","White",2006,2010
"110","Colorado","Jon Embree","Head Coach","Black",2011,2012
"111","Colorado","Mike MacIntyre","Head Coach","White",2013,2018
"112","Colorado","Mel Tucker","Head Coach","Black",2019,2019
"113","Colorado","Karl Dorrell","Head Coach","Black",2020,2021
"114","Colorado State","Sonny Lubick","Head Coach","White",2000,2007
"115","Colorado State","Steve Fairchild","Head Coach","White",2008,2011
"116","Colorado State","Jim McElwain","Head Coach","White",2012,2014
"117","Colorado State","Mike Bobo","Head Coach","White",2015,2019
"118","Colorado State","Steve Addazio","Head Coach","White",2020,2021
"119","Duke","Carl Franks","Head Coach/Offensive Coordinator","White",2000,2003
"120","Duke","Ted Roof","Head Coach","White",2004,2007
"121","Duke","David Cutcliffe","Head Coach","White",2008,2021
"122","East Carolina","Steve Logan","Head Coach","White",2000,2002
"123","East Carolina","John Thompson","Head Coach","White",2003,2004
"124","East Carolina","Skip Holtz","Head Coach","White",2005,2009
"125","East Carolina","Ruffin McNeill","Head Coach","Black",2010,2015
"126","East Carolina","Scottie Montgomery","Head Coach","Black",2016,2018
"127","East Carolina","Mike Houston","Head Coach","White",2019,2021
"128","Eastern Michigan","Jeff Woodruff","Head Coach","White",2000,2003
"129","Eastern Michigan","Jeff Genyk","Head Coach","White",2004,2008
"130","Eastern Michigan","Ron English","Head Coach","Black",2009,2013
"131","Eastern Michigan","Chris Creighton","Head Coach","White",2014,2021
"132","Florida Atlantic","Howard Schnellenberger","Head Coach","White",2005,2011
"133","Florida Atlantic","Carl Pelini","Head Coach","White",2012,2013
"134","Florida Atlantic","Charlie Partridge","Head Coach","White",2014,2016
"135","Florida Atlantic","Lane Kiffin","Head Coach","White",2017,2019
"136","Florida Atlantic","Willie Taggart","Head Coach","Black",2020,2021
"137","Florida International","Don Strock","Head Coach","White",2005,2006
"138","Florida International","Mario Cristobal","Head Coach","Other",2007,2012
"139","Florida International","Ron Turner","Head Coach/Offensive Coordinator","White",2013,2016
"140","Florida International","Butch Davis","Head Coach","White",2017,2021
"141","Florida","Steve Spurrier","Head Coach/Offensive Coordinator/Quarterbacks Coach","White",2000,2001
"142","Florida","Ron Zook","Head Coach","White",2002,2004
"143","Florida","Urban Meyer","Head Coach","White",2005,2010
"144","Florida","Will Muschamp","Head Coach","White",2011,2014
"145","Florida","Jim McElwain","Head Coach","White",2015,2017
"146","Florida","Dan Mullen","Head Coach","White",2018,2021
"147","Florida State","Bobby Bowden","Head Coach","White",2000,2009
"148","Florida State","Jimbo Fisher","Head Coach","White",2010,2017
"149","Florida State","Willie Taggart","Head Coach","Black",2018,2019
"150","Florida State","Mike Norvell","Head Coach","White",2020,2021
"151","Fresno State","Pat Hill","Head Coach","White",2000,2011
"152","Fresno State","Tim DeRuyter","Head Coach","White",2012,2016
"153","Fresno State","Jeff Tedford","Head Coach","White",2017,2019
"154","Fresno State","Kalen DeBoer","Head Coach","White",2020,2021
"155","Georgia","Jim Donnan","Head Coach/Offensive Coordinator","White",2000,2000
"156","Georgia","Mark Richt","Head Coach","White",2001,2015
"157","Georgia","Kirby Smart","Head Coach","White",2016,2021
"158","Georgia Southern","Willie Fritz","Head Coach","White",2014,2015
"159","Georgia Southern","Tyson Summers","Head Coach","White",2016,2017
"160","Georgia Southern","Chad Lunsford","Head Coach","White",2018,2021
"161","Georgia State","Trent Miles","Head Coach","Black",2013,2016
"162","Georgia State","Shawn Elliott","Head Coach","White",2017,2021
"163","Georgia Tech","George O'Leary","Head Coach","White",2000,2001
"164","Georgia Tech","Chan Gailey","Head Coach","White",2002,2007
"165","Georgia Tech","Paul Johnson","Head Coach/Offensive Coordinator","White",2008,2018
"166","Georgia Tech","Geoff Collins","Head Coach","White",2019,2021
"167","Hawai'i","June Jones","Head Coach/Offensive Coordinator","White",2000,2007
"168","Hawai'i","Greg McMackin","Head Coach","White",2008,2011
"169","Hawai'i","Norm Chow","Head Coach","Other",2012,2015
"170","Hawai'i","Nick Rolovich","Head Coach","White",2016,2019
"171","Hawai'i","Todd Graham","Head Coach","White",2020,2021
"172","Houston","Dana Dimel","Head Coach","White",2000,2002
"173","Houston","Art Briles","Head Coach/Offensive Coordinator","White",2003,2007
"174","Houston","Kevin Sumlin","Head Coach","Black",2008,2011
"175","Houston","Tony Levine","Head Coach","White",2012,2014
"176","Houston","Tom Herman","Head Coach","White",2015,2016
"177","Houston","Major Applewhite","Head Coach","White",2017,2018
"178","Houston","Dana Holgorsen","Head Coach","White",2019,2021
"179","Illinois","Ron Turner","Head Coach/Offensive Coordinator","White",2000,2004
"180","Illinois","Ron Zook","Head Coach","White",2005,2011
"181","Illinois","Tim Beckman","Head Coach","White",2012,2014
"182","Illinois","Bill Cubit","Head Coach/Offensive Coordinator","White",2015,2015
"183","Illinois","Lovie Smith","Head Coach","Black",2016,2020
"184","Illinois","Bret Bielema","Head Coach","White",2021,2021
"185","Indiana","Cam Cameron","Head Coach","White",2000,2001
"186","Indiana","Gerry DiNardo","Head Coach","White",2002,2004
"187","Indiana","Terry Hoeppner","Head Coach","White",2005,2006
"188","Indiana","Bill Lynch","Head Coach","White",2007,2010
"189","Indiana","Kevin Wilson","Head Coach","White",2011,2016
"190","Indiana","Tom Allen","Head Coach","White",2017,2021
"191","Iowa","Kirk Ferentz","Head Coach","White",2000,2021
"192","Iowa State","Dan McCarney","Head Coach","White",2000,2006
"193","Iowa State","Gene Chizik","Head Coach","White",2007,2008
"194","Iowa State","Paul Rhoads","Head Coach","White",2009,2015
"195","Iowa State","Matt Campbell","Head Coach","White",2016,2021
"196","Kansas","Terry Allen","Head Coach","White",2000,2001
"197","Kansas","Mark Mangino","Head Coach","White",2002,2009
"198","Kansas","Turner Gill","Head Coach","Black",2010,2011
