"","College","Season","Coach","username","Coach.1","Role","Race"
"71","Appalachian State",2018,"Scott Satterfield","scott-satterfield","Scott Satterfield","Head Coach","White"
"72","Appalachian State",2019,"Eliah Drinkwitz","eliah-drinkwitz","Eliah Drinkwitz","Head Coach/Offensive Coordinator","White"
"73","Appalachian State",2020,"Shawn Clark","shawn-clark","Shawn Clark","Head Coach","White"
"74","Appalachian State",2021,"Shawn Clark","shawn-clark","Shawn Clark","Head Coach","White"
"75","Arizona",2000,"Dick Tomey","dick-tomey","Dick Tomey","Head Coach","White"
"76","Arizona",2001,"John Mackovic","john-mackovic","John Mackovic","Head Coach","White"
"77","Arizona",2002,"John Mackovic","john-mackovic","John Mackovic","Head Coach","White"
"78","Arizona",2003,"John Mackovic","john-mackovic","John Mackovic","Head Coach","White"
"79","Arizona",2004,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"80","Arizona",2005,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"81","Arizona",2006,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"82","Arizona",2007,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"83","Arizona",2008,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"84","Arizona",2009,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"85","Arizona",2010,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"86","Arizona",2011,"Mike Stoops","mike-stoops","Mike Stoops","Head Coach","White"
"87","Arizona",2012,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"88","Arizona",2013,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"89","Arizona",2014,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"90","Arizona",2015,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"91","Arizona",2016,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"92","Arizona",2017,"Rich Rodriguez","rich-rodriguez","Rich Rodriguez","Head Coach","White"
"93","Arizona",2018,"Kevin Sumlin","kevin-sumlin","Kevin Sumlin","Head Coach","Black"
"94","Arizona",2019,"Kevin Sumlin","kevin-sumlin","Kevin Sumlin","Head Coach","Black"
"95","Arizona",2020,"Kevin Sumlin","kevin-sumlin","Kevin Sumlin","Head Coach","Black"
"96","Arizona",2021,"Jedd Fisch","jedd-fisch","Jedd Fisch","Head Coach","White"
"97","Arizona State",2000,"Bruce Snyder","bruce-snyder","Bruce Snyder","Head Coach","White"
"98","Arizona State",2001,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
"99","Arizona State",2002,"Dirk Koetter","dirk-koetter","Dirk Koetter","Head Coach/Offensive Coordinator","White"
