"","College","Coach","Role","Race","year_start","year_end"
"70","Arkansas State","Keith Heckendorf","Offensive Coordinator/Quarterbacks Coach","White",2019,2021
"71","Army","John Bond","Offensive Coordinator/Quarterbacks Coach","White",2000,2003
"72","Army","Kevin Ross","Offensive Coordinator/Running Backs Coach","Black",2004,2006
"73","Army","Tim Walsh","Offensive Coordinator/Quarterbacks Coach","White",2007,2008
"74","Army","Ian Shields","Offensive Coordinator/Quarterbacks Coach","White",2009,2012
"75","Army","Brent Davis","Offensive Coordinator/Offensive Line Coach","White",2014,2021
"76","Auburn","Noel Mazzone","Offensive Coordinator/Quarterbacks Coach","White",2000,2001
"77","Auburn","Bobby Petrino","Offensive Coordinator/Quarterbacks Coach","White",2002,2002
"78","Auburn","Hugh Nall","Offensive Coordinator/Offensive Line Coach","White",2003,2003
"79","Auburn","Al Borges","Offensive Coordinator/Quarterbacks Coach","White",2004,2007
"80","Auburn","Steve Ensminger","Offensive Coordinator/Tight Ends Coach","White",2008,2008
"81","Auburn","Tony Franklin","Offensive Coordinator/Quarterbacks Coach","White",2008,2008
"82","Auburn","Gus Malzahn","Offensive Coordinator/Quarterbacks Coach","White",2009,2011
"83","Auburn","Scot Loeffler","Offensive Coordinator/Quarterbacks Coach","White",2012,2012
"84","Auburn","Dameyune Craig","Offensive Coordinator/Wide Receivers Coach","Black",2013,2015
"85","Auburn","Rhett Lashlee","Offensive Coordinator/Quarterbacks Coach","White",2013,2016
"86","Auburn","Kodi Burns","Offensive Coordinator/Wide Receivers Coach","Black",2016,2018
"87","Auburn","Chip Lindsey","Offensive Coordinator/Quarterbacks Coach","White",2017,2018
"88","Auburn","Kenny Dillingham","Offensive Coordinator/Quarterbacks Coach","White",2019,2019
"89","Auburn","Chad Morris","Offensive Coordinator/Quarterbacks Coach","White",2020,2020
"90","Auburn","Mike Bobo","Offensive Coordinator","White",2021,2021
"91","Ball State","Ted Huber","Offensive Line Coach/Recruiting Coordinator","White",2001,2001
"92","Ball State","Rich Spisak","Offensive Coordinator/Tight Ends Coach","White",2002,2002
"93","Ball State","Don Treadwell","Offensive Coordinator/Wide Receivers Coach","White",2003,2003
"94","Ball State","Ed Stults","Offensive Coordinator/Tight Ends Coach/Offensive Line Coach","White",2004,2005
"95","Ball State","Stan Parrish","Offensive Coordinator/Quarterbacks Coach","White",2006,2008
"96","Ball State","Eddie Faulkner","Offensive Coordinator/Running Backs Coach","Black",2007,2010
"97","Ball State","Rich Skrosky","Offensive Coordinator/Quarterbacks Coach","White",2011,2013
"98","Ball State","Joey Lynch","Offensive Coordinator/Quarterbacks Coach","White",2014,2019
"99","Ball State","Kevin Lynch","Offensive Coordinator/Running Backs Coach","White",2020,2021
"100","Baylor","Greg Meyer","Offensive Coordinator/Quarterbacks Coach","White",2000,2001
"101","Baylor","Dave Baldwin","Offensive Coordinator/Quarterbacks Coach","White",2002,2002
