"","Coach","team","Race","net_ppa","net_sr","net_stuff","net_pass_sr"
"mean_ppa227","Doug Martin","Boston College","White",0.0349835539633592,0.0146478933237585,0.0611781355712644,0.0230957673167728
"mean_ppa228","Doug Martin","New Mexico State","White",0.107513360618428,0.0303113699594436,0.0188669216506244,0.0475023999538338
"mean_ppa229","Doug Meacham","Houston","White",-0.0639358702961445,-0.0440193568149555,0.0610552789247834,-0.0633875257353952
"mean_ppa230","Doug Meacham","Kansas","White",0.0564277078190539,0.0107989631347446,0.0200974035401837,-0.00216345801739182
"mean_ppa231","Doug Meacham","TCU","White",0.151124238406516,0.0312727788101962,-0.0111147149278578,-0.00556830859428437
"mean_ppa232","Doug Nussmeier","Alabama","White",0.0805902203334909,0.0301222196788629,-0.0296740891633428,0.000695074659329331
"mean_ppa233","Doug Nussmeier","Florida","White",0.0626534155108871,0.00476219544575068,-0.0288529941083346,-0.00522022392272709
"mean_ppa234","Doug Nussmeier","Fresno State","White",0.0271454537442586,0.0443029767895489,0.0263341795008967,0.0373192642100031
"mean_ppa235","Doug Nussmeier","Michigan","White",0.0214032240754378,0.00639184213659671,-0.0679971000521462,-0.0351312696818026
"mean_ppa236","Doug Nussmeier","Washington","White",0.105057606392543,0.0488908041845024,-0.0334277828938242,0.0590972685647507
"mean_ppa237","Doug Ruse","Georgia Southern","White",0.100235022461299,-0.0104996958538363,0.0113056072235248,0.265620465276728
"mean_ppa238","Doug Ruse","Tulane","White",0.115500037914871,0.0280445632904401,-0.0425909403966966,0.00826972540834647
"mean_ppa239","Drew Mehringer","Florida Atlantic","White",-0.14165115519227,-0.0554620581765863,0.00298088246238135,-0.0666082027065808
"mean_ppa240","Drew Mehringer","Rutgers","White",-0.148899124748482,-0.0724428241673475,0.00570460446202128,-0.101593333381723
"mean_ppa241","Dwayne Ledford","Appalachian State","White",0.293200747881571,0.113513028615928,-0.0771385546684994,0.0683633335782333
"mean_ppa242","Dwayne Ledford","Louisville","White",0.0199752672000756,-0.0377901903214966,0.0623306207923883,0.00612352110624076
"mean_ppa243","Ed Warinner","Kansas","White",0.110446955058494,0.0802264227949395,-0.0639047742217662,0.0997510991644671
"mean_ppa244","Ed Warinner","Ohio State","White",0.166736677108331,0.0844589316334963,-0.035387769088671,0.0744068902626709
"mean_ppa245","Ed Zaunbrecher","Purdue","White",-0.0613520508090805,-0.0115004589086787,0.0460821689516502,-0.0092390349341982
"mean_ppa246","Ed Zaunbrecher","Rice","White",-0.0572686364252864,-0.0460696643745115,0.0269643793102134,-0.0592562972854184
"mean_ppa247","Eddie Faulkner","Ball State","Black",0.0415534610307701,0.0651308666194295,-0.0410830413909613,0.0477535843142721
"mean_ppa248","Eddie Gran","Cincinnati","White",0.146442299695927,0.0604349147464722,-0.0324065188397921,0.0957067996701169
"mean_ppa249","Eddie Gran","Kentucky","White",0.0869351494282813,0.0320509609472688,-0.0588040276876169,0.018056093946379
"mean_ppa250","Eliah Drinkwitz","Arkansas State","White",-0.0111847991187055,-0.0172296823679722,-0.00644078144078145,-0.00771308351853095
