"","variable","betweenness","closeness","degree","eigen","Race","Race == ..."
"96","Tommy Bowden",0,4.91422225061551e-07,6,0.000132114759546503,"White",TRUE
"97","Dabo Swinney",0,4.97344429419117e-07,8,0.00958090282317765,"White",TRUE
"98","Joe Moglia",0,4.90735165444e-07,3,2.05703135591759e-05,"White",TRUE
"99","Jamey Chadwell",3,4.89704933189556e-07,4,9.73396477224754e-07,"White",TRUE
"100","Gary Barnett",0,4.90047142535112e-07,4,0.00242215884359306,"White",TRUE
"101","Jon Embree",0,4.89363201453213e-07,2,6.25679567190105e-05,"Black",TRUE
"102","Mike MacIntyre",88.5,4.9384764602581e-07,11,0.00150907688120482,"White",TRUE
"103","Mel Tucker",21,4.91080022471822e-07,5,0.00149017343480739,"Black",TRUE
"104","Karl Dorrell",245,5.0198031233215e-07,10,0.00114557668136589,"Black",TRUE
"105","Sonny Lubick",0,4.91422708053632e-07,6,0.00661003997350631,"White",TRUE
"106","Steve Fairchild",11,4.89705412811869e-07,5,0.000491306017936843,"White",TRUE
"107","Mike Bobo",52,4.9177022527994e-07,7,0.00102138719509888,"White",TRUE
"108","Carl Franks",0,4.91769016093141e-07,3,7.08948678694926e-05,"White",TRUE
"109","Ted Roof",280,4.90735406265121e-07,14,0.00129605446433539,"White",TRUE
"110","David Cutcliffe",15.5,5.57167627223656e-07,16,0.00195724253996972,"White",TRUE
"111","Steve Logan",2,4.95231416688704e-07,3,9.48090287903912e-06,"White",TRUE
"112","John Thompson",914,4.99103859021128e-07,7,0.000371185189034426,"White",TRUE
"113","Skip Holtz",36,5.01263434486623e-07,13,0.000351775187881152,"White",TRUE
"114","Ruffin McNeill",39,5.10623783119697e-07,5,0.00138363973463577,"Black",TRUE
"115","Scottie Montgomery",17.5,4.89705652623378e-07,5,0.000379021700770169,"Black",TRUE
"116","Mike Houston",0,4.89705652623378e-07,3,6.29899216994494e-06,"White",TRUE
"117","Jeff Woodruff",0,4.9004858341656e-07,4,6.00725752310774e-06,"White",TRUE
"118","Jeff Genyk",0,4.89704693378752e-07,3,0.0204122511222284,"White",TRUE
"119","Ron English",65,4.91079781312352e-07,8,0.000103742874908131,"Black",TRUE
"120","Chris Creighton",0,4.90390070974155e-07,4,5.15665505613676e-05,"White",TRUE
"121","Howard Schnellenberger",0,4.91420051608934e-07,4,2.02460058231203e-05,"White",TRUE
"122","Carl Pelini",27,4.897061322471e-07,5,0.00972655533674839,"White",TRUE
"123","Charlie Partridge",9,4.89705652623378e-07,4,0.000205414097383142,"White",TRUE
"124","Lane Kiffin",253.166666666667,5.46806649168854e-07,16,0.00089143964715581,"White",TRUE
"125","Willie Taggart",0,5.41925820109892e-07,19,0.000936838690704697,"Black",TRUE
"126","Don Strock",0,4.897061322471e-07,3,9.32562557090631e-07,"White",TRUE
"127","Mario Cristobal",39,5.04884250236791e-07,16,0.000603453044183387,"Other",TRUE
"128","Ron Turner",0,4.91080745951653e-07,7,0.000149904537115399,"White",TRUE
"129","Butch Davis",0,5.10374640504863e-07,10,0.000188211689968285,"White",TRUE
"130","Steve Spurrier",0,5.0888565237614e-07,7,7.67061813048737e-05,"White",TRUE
"131","Ron Zook",0,5.55097291902352e-07,12,0.000744243303516295,"White",TRUE
"132","Will Muschamp",1047.33333333333,5.00190822798898e-07,11,0.00146378950641627,"White",TRUE
"133","Dan Mullen",21,4.96644421963007e-07,11,0.00216851765894251,"White",TRUE
"134","Bobby Bowden",0,5.19373676895558e-07,4,0.000679278791730654,"White",TRUE
"135","Jimbo Fisher",94,5.03410100017519e-07,12,0.0037391865167383,"White",TRUE
"136","Mike Norvell",55,4.92114359503319e-07,7,0.00060357111160444,"White",TRUE
"137","Pat Hill",0,4.99474552770485e-07,8,0.000663768042047203,"White",TRUE
"138","Tim DeRuyter",122,4.90048103121802e-07,11,0.00245035182478647,"White",TRUE
"139","Kalen DeBoer",1,4.89021228900568e-07,3,0.000204215139656062,"White",TRUE
"140","Jim Donnan",0,4.89021468042447e-07,1,5.96814296052231e-06,"White",TRUE
"141","Mark Richt",50,5.06296300796708e-07,12,0.000917746012961376,"White",TRUE
"142","Kirby Smart",18,4.95940725164528e-07,7,0.0013904002177318,"White",TRUE
"143","Willie Fritz",0,4.9073420216188e-07,5,1.30649204375039e-05,"White",TRUE
"144","Tyson Summers",64,4.90049303860461e-07,8,0.000191033858674776,"White",TRUE
"145","Chad Lunsford",0,4.89705173000595e-07,3,1.35688697342156e-05,"White",TRUE
"146","Trent Miles",0,4.96628389861232e-07,3,1.00559059398643e-06,"Black",TRUE
"147","Shawn Elliott",3,4.89704693378752e-07,4,1.20400062112693e-05,"White",TRUE
"148","George O Leary",0,5.02336618782266e-07,12,0.000550904165287426,"White",NA
"149","Chan Gailey",0,4.92459703253632e-07,5,4.97164441329877e-05,"White",TRUE
"150","Paul Johnson",0,5.11805824964455e-07,5,0.000383815533733262,"White",TRUE
"151","Geoff Collins",28,4.90047622827986e-07,7,0.00045890008368912,"White",TRUE
"152","June Jones",0,4.93847158255297e-07,7,8.80906109634391e-05,"White",TRUE
"153","Greg McMackin",0,5.40014828807199e-07,4,0.000187740147500079,"White",TRUE
"154","Norm Chow",41,4.90737092019584e-07,10,0.000291275130552176,"Other",TRUE
"155","Nick Rolovich",18,4.90735647086478e-07,9,0.000803606659038676,"White",TRUE
"156","Dana Dimel",23,4.98054846795839e-07,9,0.00235422826771704,"White",TRUE
"157","Tony Levine",0,4.90392716295063e-07,5,3.23764084243095e-05,"White",TRUE
"158","Tom Herman",224.5,4.96645655244479e-07,11,0.00318908691278306,"White",TRUE
"159","Major Applewhite",110,4.90049303860461e-07,9,0.000984678300280734,"White",TRUE
"160","Dana Holgorsen",66,4.93503276121499e-07,14,0.00088859354315237,"White",TRUE
"161","Tim Beckman",126.5,4.99821813523479e-07,8,0.00114368871254913,"White",TRUE
"162","Bill Cubit",177,4.94895401382441e-07,13,0.000298474489031471,"White",TRUE
"163","Lovie Smith",0,5.01248359038185e-07,3,0.000236565127849293,"Black",TRUE
"164","Cam Cameron",2,4.89363201453213e-07,3,0.00207738601123342,"White",TRUE
"165","Gerry DiNardo",0,5.05553760839705e-07,4,0.000259808737500573,"White",TRUE
"166","Terry Hoeppner",0,4.96649108465185e-07,7,0.000144278843100144,"White",TRUE
"167","Kevin Wilson",112.5,4.97700375415393e-07,11,0.0154432422996183,"White",TRUE
"168","Tom Allen",22,4.96998131287026e-07,10,0.000163782422373827,"White",TRUE
"169","Kirk Ferentz",0,4.9038381851091e-07,5,0.00305606965536673,"White",TRUE
"170","Dan McCarney",0,4.91423432543534e-07,8,0.00596331740954472,"White",TRUE
"171","Paul Rhoads",321,5.08137569100358e-07,9,0.00130216989465703,"White",TRUE
"172","Matt Campbell",44,4.91762002926967e-07,5,0.000175230464740858,"White",TRUE
"173","Terry Allen",0,4.94192252646894e-07,4,3.55875634464203e-05,"White",TRUE
"174","Mark Mangino",220,4.99475550671795e-07,8,0.00395534808504944,"White",TRUE
"175","Charlie Weis",676,4.95595887148852e-07,8,0.000148095377619207,"White",TRUE
"176","David Beaty",14,4.90047862974777e-07,6,0.000278757385794858,"White",TRUE
"177","Les Miles",0,5.87514724587785e-07,16,0.0114167761227062,"White",TRUE
"178","Bill Snyder",0,5.83246138035697e-07,15,0.00281286356321037,"White",TRUE
"179","Ron Prince",96,4.9454051993023e-07,6,0.000252920601959569,"Black",TRUE
"180","Chris Klieman",0,4.89705652623378e-07,3,0.000622771103391747,"White",TRUE
"181","Dean Pees",0,4.95591220502411e-07,4,9.75371948045838e-06,"White",TRUE
"182","Doug Martin",214,4.94544433086407e-07,11,6.19429916074356e-05,"White",TRUE
"183","Darrell Hazell",0,4.90392235325503e-07,5,0.00015836289640146,"Black",TRUE
"184","Paul Haynes",8,4.91422708053632e-07,6,0.000218721873853094,"Black",TRUE
"185","Sean Lewis",6,4.89362483025239e-07,3,3.32902696591771e-05,"White",TRUE
"186","Hal Mumme",8,4.91423674040643e-07,7,0.000324515750138169,"White",TRUE
"187","Rich Brooks",0,4.94183216450766e-07,5,0.000191478446975484,"White",TRUE
"188","Joker Phillips",54.5,4.93152819675219e-07,5,0.000338055012439279,"Black",TRUE
"189","Mark Stoops",214,4.95240491258758e-07,12,0.00594964399358685,"White",TRUE
"190","Jerry Baldwin",0,4.89363201453213e-07,2,1.43352314956097e-05,"Black",TRUE
"191","Rickey Bustle",17,4.94545900535939e-07,7,0.000114966903298617,"White",TRUE
"192","Mark Hudspeth",9,4.9177022527994e-07,9,0.000345263679825963,"White",TRUE
"193","Billy Napier",50,4.90392235325503e-07,7,0.000964271392828333,"White",TRUE
"194","Bobby Keasler",0,4.90049544008899e-07,4,4.9415937929857e-07,"White",TRUE
"195","Charlie Weatherbie",0,4.98776501242452e-07,13,0.000235727337606636,"White",TRUE
"196","Matt Viator",0,4.90048103121802e-07,4,2.23552687666974e-06,"White",TRUE
"197","Jack Bicknell Jr ",0,4.91080504791473e-07,7,5.44602578099818e-05,"White",NA
"198","Derek Dooley",78,4.93148442119414e-07,6,0.00112558716546787,"White",TRUE
"199","Steve Kragthorpe",152,5.53853072749155e-07,9,0.000131102047609079,"White",TRUE
"200","Charlie Strong",51,4.95941954953592e-07,11,0.00313646915712283,"Black",TRUE
"201","Ed Orgeron",349.333333333333,5.42152344808891e-07,10,0.00285435438624952,"White",TRUE
"202","Bob Pruett",8,4.9004858341656e-07,5,2.74914885050579e-05,"White",TRUE
"203","Mark Snyder",74,4.93849109343131e-07,8,0.000356244710699855,"White",TRUE
"204","Doc Holliday",0,4.94196160293513e-07,9,0.000238572510822585,"White",TRUE
"205","Charles Huff",0,4.89363680406368e-07,2,7.91125294886001e-06,"Black",TRUE
"206","Ron Vanderlinden",0,5.56281193467924e-07,3,0.00018830832251904,"White",TRUE
"207","Ralph Friedgen",38.5,4.95233869242411e-07,7,0.000321395247017727,"White",TRUE
"208","Randy Edsall",0,5.10369430912566e-07,18,0.00080640466503668,"White",TRUE
"209","D J  Durkin",152.166666666667,4.90734924623116e-07,6,0.000280330498966155,"White",NA
"210","Matt Canada",55.8333333333333,4.89706372059313e-07,9,0.00071876885831461,"White",TRUE
"211","Mike Locksley",89.5,5.00191323181117e-07,13,0.000941310434514084,"Black",TRUE
"212","Charley Molnar",114,5.31481510024007e-07,4,6.82398488643477e-05,"?",TRUE
"213","Mark Whipple",44,4.89362961976987e-07,4,0.000437844687915675,"White",TRUE
"214","Walt Bell",135,4.89705892435121e-07,6,0.000114521252602078,"White",TRUE
"215","Rip Scherer",24,4.92802132059144e-07,3,1.92466761071419e-05,"White",TRUE
"216","Tommy West",498,4.92457763128801e-07,10,0.000148667712940984,"White",TRUE
"217","Larry Porter",0,4.91767806912288e-07,3,1.01484941018796e-05,"Black",TRUE
"218","Justin Fuente",74,5.01945037018446e-07,6,0.000500900899935524,"White",TRUE
"219","Ryan Silverfield",0,4.94538318807094e-07,2,0.000515965321789979,"White",TRUE
"220","Larry Coker",13,4.93491586215201e-07,8,0.000403654253824584,"White",TRUE
"221","Randy Shannon",120.5,4.91079540153119e-07,8,0.0011718742292149,"Black",TRUE
"222","Al Golden",22,4.92454610458554e-07,6,0.000281131362007022,"White",TRUE
"223","Manny Diaz",219,4.9107881667684e-07,9,0.00102142919508507,"Other",TRUE
"224","Shane Montgomery",22,4.89363440929673e-07,6,4.45433404675974e-05,"White",TRUE
"225","Michael Haywood",81,4.897061322471e-07,4,8.5359067193244e-05,"Black",TRUE
"226","Don Treadwell",27,4.89705652623378e-07,6,0.00140447294620886,"White",TRUE
"227","Chuck Martin",5,4.90387666161731e-07,6,4.9457111145587e-05,"White",TRUE
"228","Lloyd Carr",0,4.95585325916734e-07,5,5.42908606687879e-05,"White",TRUE
"229","Jim Harbaugh",0,5.14785144124397e-07,10,0.000649731450807076,"White",TRUE
"230","Bobby Williams",0,4.89362961976987e-07,2,2.85845689362064e-05,"Black",TRUE
"231","Andy McCollum",0,5.37581517517363e-07,7,0.000415100890502048,"White",TRUE
"232","Rick Stockstill",865,4.98399390357866e-07,12,0.000748932915660643,"White",TRUE
"233","Glen Mason",0,4.90733961341941e-07,6,9.17906671258665e-05,"White",TRUE
"234","Tim Brewster",0,4.96302546032061e-07,8,0.000157134094193201,"White",TRUE
"235","Jerry Kill",60,4.90042339658147e-07,3,0.000389266301630143,"White",TRUE
"236","Tracy Claeys",34,4.89363680406368e-07,4,0.000824860684381709,"White",TRUE
"237","P J  Fleck",0,4.91767323241612e-07,7,0.000195797361979984,"White",NA
"238","Jackie Sherrill",0,4.9004858341656e-07,4,7.0496195228258e-06,"White",TRUE
"239","Sylvester Croom",0,4.94180774292321e-07,3,0.000116874647929247,"Black",TRUE
"240","Joe Moorhead",30,4.89363440929673e-07,6,0.000224299903231527,"White",TRUE
"241","Mike Leach",0,5.17428010240935e-07,9,0.000834039441617092,"White",TRUE
"242","Larry Smith",0,4.95943922628781e-07,3,1.37829497969396e-05,"White",TRUE
"243","Gary Pinkel",0,5.05194664133957e-07,6,0.000212360789509256,"White",TRUE
"244","Barry Odom",143,4.98753863472115e-07,7,0.000724202296553913,"White",TRUE
"245","Ken Niumatalolo",0,4.90387425681786e-07,5,0.000115132185693718,"Other",TRUE
"246","Chuck Amato",13,4.93156954104841e-07,8,0.000101983162906132,"White",TRUE
"247","Dave Doeren",247,4.97353581592347e-07,12,0.00207555423437938,"White",TRUE
"248","Frank Solich",0,4.96635295870478e-07,9,1,"White",TRUE
"249","Bill Callahan",0,4.90732275608987e-07,3,0.00128585736500986,"White",TRUE
"250","Bo Pelini",47.5,4.91076405104641e-07,8,0.0535069387945775,"White",TRUE
"251","Mike Riley",0,5.45009322384459e-07,5,0.000339638292631592,"White",TRUE
"252","Scott Frost",8,4.89704213757848e-07,4,0.00313198071292459,"White",TRUE
"253","Chris Tormey",9,4.89362243549716e-07,3,5.06472140730981e-05,"White",TRUE
"254","Chris Ault",0,4.95246377644182e-07,9,0.000332584396690057,"White",TRUE
"255","Brian Polian",0,4.92457520614272e-07,5,0.000740014171220969,"White",TRUE
"256","Jay Norvell",42,4.89704693378752e-07,7,0.00629443516967414,"Black",TRUE
"257","Rocky Long",180,4.98409326634047e-07,12,0.00182151005766989,"White",TRUE
"258","Bob Davie",0,4.91424157035572e-07,8,0.000321636107457029,"White",TRUE
"259","Danny Gonzales",34,4.98396409552266e-07,4,0.000257507101362744,"White",TRUE
"260","Tony Samuel",0,4.89705412811869e-07,3,0.0279422893722325,"Black",TRUE
"261","DeWayne Walker",197,4.96296141893052e-07,8,0.000117491933386539,"Black",TRUE
"262","Carl Torbush",8,4.89363680406368e-07,5,0.000284582901148676,"White",TRUE
"263","John Bunting",0,4.90735647086478e-07,6,0.000159221469125089,"White",TRUE
"264","Everett Withers",11.5,4.90049063712259e-07,7,0.000621450857176203,"Black",TRUE
"265","Larry Fedora",2052,5.34762503950558e-07,13,0.00192199082277488,"White",TRUE
"266","Mack Brown",0,5.65847056067521e-07,14,0.00339626777614762,"White",TRUE
"267","Darrell Dickey",96,4.90047622827986e-07,9,0.000968465477596437,"White",TRUE
"268","Todd Dodge",0,4.89705412811869e-07,3,1.81540932655411e-05,"White",TRUE
"269","Seth Littrell",113.5,4.9246067332178e-07,10,0.00317256206664713,"White",TRUE
"270","Joe Novak",0,4.95238038639462e-07,6,0.000158871291641817,"White",TRUE
"271","Rod Carey",48,4.90390070974155e-07,6,0.000201297804159665,"White",TRUE
"272","Thomas Hammock",2,4.89362961976987e-07,3,9.50657947181889e-06,"Black",TRUE
"273","Randy Walker",0,4.89704693378752e-07,3,4.59076442720058e-05,"White",TRUE
"274","Pat Fitzgerald",0,5.02323497336932e-07,6,0.000694993736582061,"White",TRUE
"275","Tyrone Willingham",0,4.90046181952187e-07,4,0.000693065636624842,"Black",TRUE
"276","Brian Knorr",47,4.91421742070419e-07,6,0.0019612964885049,"White",TRUE
"277","Tim Albin",1,4.90049544008899e-07,5,0.699252137276695,"White",TRUE
"278","John Cooper",0,4.89363680406368e-07,2,1.68334785401481e-06,"White",TRUE
"279","Jim Tressel",0,5.06649008259899e-07,6,0.00153489811339214,"White",TRUE
"280","Ryan Day",66,4.99813319725083e-07,6,0.0029462747040228,"White",TRUE
"281","Bob Stoops",0,5.35992427498984e-07,10,0.0292052769876952,"White",TRUE
"282","Lincoln Riley",147.5,5.09213972220341e-07,6,0.00544116825856336,"White",TRUE
"283","Bob Simmons",0,4.89363680406368e-07,2,9.96255219038724e-05,"Black",TRUE
"284","Mike Gundy",233.5,5.55009795922898e-07,15,0.00419014813027228,"White",TRUE
"285","Bobby Wilder",0,4.90391032905729e-07,5,7.86685494549453e-06,"White",TRUE
"286","Ricky Rahne",20,4.89363201453213e-07,3,7.56975198814346e-05,"White",TRUE
"287","Matt Luke",625.5,5.50778773646998e-07,8,0.000961447910717735,"White",TRUE
"288","Mike Bellotti",0,5.12917309523028e-07,5,0.00249806580797224,"White",TRUE
"289","Chip Kelly",46,5.07361562592435e-07,5,0.00404022151094,"White",TRUE
"290","Mark Helfrich",141,5.06312706828741e-07,7,0.0174993695736201,"White",TRUE
"291","Gary Andersen",444,5.50607430116905e-07,15,0.00139950226487436,"White",TRUE
"292","Jonathan Smith",4,4.89362243549716e-07,3,0.00869136684836413,"White",TRUE
"293","Joe Paterno",0,4.89701336052155e-07,3,1.80412225510121e-05,"White",TRUE
"294","Bill O Brien",60.5,4.90735165444e-07,6,0.000334658841043199,"White",NA
"295","James Franklin",115,4.93152333276292e-07,12,0.000706122365521783,"Black",TRUE
"296","Walt Harris",0,5.12520097194311e-07,4,0.000348619887458099,"White",TRUE
"297","Dave Wannstedt",0,5.10685324384765e-07,4,0.000319472651827186,"White",TRUE
"298","Paul Chryst",514,5.41720026089236e-07,9,0.0010867012960667,"White",TRUE
"299","Pat Narduzzi",33,4.92460430804385e-07,8,0.00230486678750136,"White",TRUE
"300","Joe Tiller",0,4.90045701662137e-07,4,0.000271708692749652,"White",TRUE
"301","Danny Hope",7.5,4.91421017585501e-07,5,0.000133839788644458,"White",TRUE
"302","Jeff Brohm",190.5,4.99127525086149e-07,11,0.000304647646131533,"White",TRUE
"303","Ken Hatfield",0,4.89703973947749e-07,3,8.0111336337541e-07,"White",TRUE
"304","David Bailiff",67,5.01255896649054e-07,11,0.000670741280550968,"White",TRUE
"305","Mike Bloomgren",6,4.89705173000595e-07,4,0.000668151452974043,"White",TRUE
"306","Terry Shea",0,4.89021468042447e-07,1,0,"White",TRUE
"307","Greg Schiano",36,4.98410320283456e-07,12,0.00106879303761786,"White",TRUE
"308","Kyle Flood",84,4.98404855260738e-07,8,0.000246236600937377,"White",TRUE
"309","Chris Ash",141.5,4.92456065532114e-07,10,0.000982608537550412,"White",TRUE
"310","Ted Tollner",0,4.89363201453213e-07,2,2.69180886164463e-05,"White",TRUE
"311","Tom Craft",0,4.89020750617511e-07,1,3.8044820382893e-05,"White",TRUE
"312","Chuck Long",4,4.89362961976987e-07,4,0.00565772880906753,"White",TRUE
"313","Dave Baldwin",189,4.89706372059313e-07,9,0.00071273225314265,"White",TRUE
"314","Fitz Hill",0,4.9177022527994e-07,6,1.69327088542059e-06,"Black",TRUE
"315","Ron Caragher",0,4.9454736799418e-07,5,0.000119931498391433,"White",TRUE
"316","Brent Brennan",0,4.89705412811869e-07,3,3.44756332417325e-05,"White",TRUE
"317","Mike Cavan",0,4.89363201453213e-07,2,1.05157038293883e-05,"White",TRUE
"318","Phil Bennett",74,4.89704213757848e-07,9,0.000753976890931448,"White",TRUE
"319","Joey Jones",0,4.945476125714e-07,8,1.20562437454964e-05,"White",TRUE
"320","Steve Campbell",2,4.89362722500996e-07,3,5.22588636226559e-05,"White",TRUE
"321","Kane Wommack",17,4.90736128729901e-07,4,6.31627755649136e-05,"White",TRUE
"322","Lou Holtz",0,5.09619059752835e-07,2,0.000312272187009797,"White",TRUE
"323","Shane Beamer",0,4.89363680406368e-07,2,4.35382779680332e-06,"White",TRUE
"324","Jeff Scott",2,4.89363201453213e-07,3,0.00231046750598358,"White",TRUE
"325","Jeff Bower",0,4.96990721183235e-07,6,0.000122867842940296,"White",TRUE
"326","Ellis Johnson",497,4.93149658099342e-07,6,0.000163250841947574,"White",TRUE
"327","Todd Monken",36,4.91423432543534e-07,5,0.000552243051802399,"White",TRUE
"328","Jay Hopson",12,4.90735887908071e-07,8,9.42142398759372e-05,"White",TRUE
"329","Will Hall",3,4.89021468042447e-07,3,1.66571893243972e-05,"White",TRUE
"330","Buddy Teevens",34,5.00547599073386e-07,7,6.96616982456177e-05,"White",TRUE
"331","David Shaw",58,5.09230049257823e-07,7,0.00268604537763722,"Black",TRUE
"332","Paul Pasqualoni",0,4.90734924623116e-07,6,6.33153506534507e-05,"White",TRUE
"333","Greg Robinson",40,4.90392716295063e-07,8,0.000469378712369668,"White",TRUE
"334","Doug Marrone",0,4.93144794215609e-07,3,7.58076665910239e-05,"White",TRUE
"335","Scott Shafer",480.5,4.92114359503319e-07,8,0.000412641263484149,"White",TRUE
"336","Gary Patterson",80,5.18604952677298e-07,13,0.00131115610689036,"White",TRUE
"337","Bobby Wallace",0,4.90047622827986e-07,4,3.33421614045079e-06,"White",TRUE
"338","Phillip Fulmer",0,5.61253526075278e-07,6,0.00264710201725346,"White",TRUE
"339","Jeremy Pruitt",49.5,4.92116054744958e-07,8,0.000592692934716841,"White",TRUE
"340","Josh Heupel",138.5,4.92803832042598e-07,8,0.00561867077041452,"White",TRUE
"341","Steve Sarkisian",85.5,5.05225292588598e-07,11,0.00443980163194513,"White",TRUE
"342","R C  Slocum",0,5.94123406561024e-07,4,0.000194439365615485,"White",NA
"343","Mike Sherman",0,4.91077852045118e-07,3,0.000223017898319336,"White",TRUE
"344","Jake Spavital",39,4.89705892435121e-07,6,0.000438758385468533,"White",TRUE
"345","Kliff Kingsbury",12.5,4.91079540153119e-07,8,0.000524445136006629,"White",TRUE
"346","Matt Wells",74.5,4.96647381848829e-07,12,0.000644299749986798,"White",TRUE
"347","Tom Amstutz",0,4.90047622827986e-07,4,1.0197166572624e-05,"White",TRUE
"348","Jason Candle",29,4.90391032905729e-07,6,0.00022450406110778,"White",TRUE
"349","Larry Blakeney",0,4.94893442018532e-07,10,0.000361374247351526,"White",TRUE
"350","Neal Brown",133.5,4.92112179924087e-07,11,0.000930770140415009,"White",TRUE
"351","Chip Lindsey",120,4.89705652623378e-07,6,0.000236504783011191,"White",TRUE
"352","Chris Scelfo",0,4.89703734137884e-07,3,7.30537835856607e-05,"White",TRUE
"353","Bob Toledo",67,4.92117023459711e-07,11,0.00401252726565285,"White",TRUE
"354","Curtis Johnson",0,4.90047622827986e-07,4,4.17282124906617e-05,"Black",TRUE
"355","Keith Burns",6,4.89705652623378e-07,5,8.25570557580332e-06,"White",TRUE
"356","Bill Blankenship",0,4.9210564130223e-07,3,6.5682591068393e-05,"White",TRUE
"357","Philip Montgomery",4,4.90391754356886e-07,6,0.000567653924674102,"White",TRUE
"358","Watson Brown",0,4.90047142535112e-07,4,0.000130420635790859,"White",TRUE
"359","Neil Callaway",36,4.93495969865162e-07,5,0.000280188756998616,"White",TRUE
"360","Garrick McGee",129,5.00190822798898e-07,6,0.00016016577852525,"Black",TRUE
"361","Bill Clark",3,4.90047862974777e-07,5,6.23461601788431e-05,"White",TRUE
"362","Mike Kruczek",224,5.30304516762661e-07,4,0.000111280744746946,"White",TRUE
"363","Rick Neuheisel",0,5.01622246344679e-07,7,6.55693519102895e-05,"White",TRUE
"364","Jim L  Mora",0,4.90391754356886e-07,5,0.000137876302825182,"White",NA
"365","Bob Diaco",52,4.90047862974777e-07,9,0.000186791010639136,"White",TRUE
"366","John Robinson",0,4.90735406265121e-07,4,4.56344058293986e-06,"White",TRUE
"367","Mike Sanford Sr ",58,4.92110726881991e-07,9,0.000868682720266534,"White",NA
"368","Bobby Hauck",0,4.90736369551967e-07,6,1.34203748372914e-06,"White",TRUE
"369","Tony Sanchez",0,4.90048103121802e-07,4,0.00871195893117145,"Other",TRUE
"370","Marcus Arroyo",28,4.89363440929673e-07,7,0.000155573665118618,"White",TRUE
"371","Paul Hackett",0,4.89363680406368e-07,2,8.8378956440367e-05,"White",TRUE
"372","Pete Carroll",0,5.70252222558037e-07,6,0.000636547323091945,"White",TRUE
"373","Clay Helton",184,4.90047622827986e-07,7,0.00078332757491029,"White",TRUE
"374","Jim Leavitt",99.5,4.91079781312352e-07,11,0.000848101352887655,"White",TRUE
"375","Ron McBride",0,5.64489224747433e-07,3,0.00028420106714071,"White",TRUE
"376","Kyle Whittingham",349,5.63701035518802e-07,15,0.00294499430087716,"White",TRUE
"377","Mick Dennehy",0,4.89704693378752e-07,3,6.84501018090982e-05,"White",TRUE
"378","Brent Guy",35,4.91076887417186e-07,7,0.000137659350979413,"White",TRUE
"379","Gary Nord",11.5,4.9004858341656e-07,6,0.000105149795671022,"White",TRUE
"380","Mike Price",0,4.92459460737192e-07,10,5.88854708638675e-05,"White",TRUE
"381","Sean Kugler",0,4.90048103121802e-07,4,0.00022032011107835,"White",TRUE
"382","Frank Wilson",0,4.90392475810165e-07,5,0.000101309425619689,"Black",TRUE
"383","Jeff Traylor",0,4.89706372059313e-07,3,1.00692604838517e-05,"White",TRUE
"384","Woody Widenhofer",4,4.89363201453213e-07,3,4.42864390425887e-05,"White",TRUE
"385","Bobby Johnson",0,4.89703014709699e-07,3,8.76512754916557e-08,"White",TRUE
"386","Robbie Caldwell",0,4.89363680406368e-07,2,6.53039388110914e-08,"White",TRUE
"387","Derek Mason",276,5.06327575713694e-07,8,0.0141931097694198,"Black",TRUE
"388","Clark Lea",2,4.89363680406368e-07,3,4.94215544119242e-05,"White",TRUE
"389","George Welsh",0,4.89363680406368e-07,2,1.74974832476934e-06,"White",TRUE
"390","Al Groh",54,5.077729889143e-07,9,0.000262801428096536,"White",TRUE
"391","Mike London",14,4.91077369730678e-07,5,0.000115607321355813,"Black",TRUE
"392","Frank Beamer",0,4.96988004200543e-07,4,0.000225030938522358,"White",TRUE
"393","Jim Caldwell",0,4.89706372059313e-07,3,0,"Black",TRUE
"394","Keith Gilbertson",2,4.89705892435121e-07,4,5.01014401569038e-05,"White",TRUE
"395","Jimmy Lake",7,4.90049063712259e-07,5,0.0094610050471651,"Black",TRUE
"396","Bill Doba",1,4.89362004074428e-07,3,3.86669061271515e-05,"White",TRUE
"397","Paul Wulff",0,4.89704453568183e-07,3,5.07886522993343e-05,"White",TRUE
"398","Don Nehlen",0,4.89363680406368e-07,2,8.61443534950486e-06,"White",TRUE
"399","Bill Stewart",0,4.89362722500996e-07,2,0.000327905269221086,"White",TRUE
"400","David Elson",53,4.89706372059313e-07,6,1.00262548424907e-05,"White",TRUE
"401","Mike Sanford Jr ",20,4.89363201453213e-07,6,0.000736505241701804,"White",NA
"402","Tyson Helton",70,4.90392235325503e-07,7,6.20850012779282e-05,"White",TRUE
"403","Gary Darnell",5,4.90736128729901e-07,7,0.000282962655256077,"White",TRUE
"404","Tim Lester",353.5,4.91080022471822e-07,8,0.000231196510109756,"White",TRUE
"405","Barry Alvarez",0,5.65703330465217e-07,4,0.000262436971927887,"White",TRUE
"406","Vic Koenning",26,4.89362961976987e-07,7,0.000504351156934565,"White",TRUE
"407","Joe Glenn",0,4.89704453568183e-07,3,3.0029142618805e-05,"White",TRUE
"408","Dave Christensen",48.5,4.93152090077188e-07,7,0.000296319555039915,"White",TRUE
"409","Craig Bohl",6,4.90735647086478e-07,7,0.145293458324326,"White",TRUE
"410","Richard Bell",0,4.88679733962753e-07,1,2.51191694279888e-17,"White",TRUE
"411","John Rudzinski",0,4.88679733962753e-07,1,8.45945438237086e-05,"White",TRUE
"412","Joe Palmisano",0,4.88679733962753e-07,1,3.77774364430171e-07,"White",TRUE
