"","College","Coach","Role","Race","year_start","year_end"
"75","Auburn","David Gibbs","Defensive Coordinator","White",2005,2005
"76","Auburn","Will Muschamp","Defensive Coordinator/Defensive Backs Coach","White",2006,2015
"77","Auburn","Paul Rhoads","Defensive Coordinator/Defensive Backs Coach","White",2008,2008
"78","Auburn","Ted Roof","Defensive Coordinator/Linebackers Coach","White",2009,2011
"79","Auburn","Brian VanGorder","Defensive Coordinator","White",2012,2012
"80","Auburn","Ellis Johnson","Defensive Coordinator/Linebackers Coach","White",2013,2014
"81","Auburn","Charlie Harbison","Defensive Coordinator/Safeties Coach","Black",2014,2014
"82","Auburn","Kevin Steele","Defensive Coordinator","White",2016,2020
"83","Auburn","Derek Mason","Defensive Coordinator","Black",2021,2021
"84","Ball State","Bob Bartolomeo","Defensive Coordinator/Inside Linebackers Coach","White",2000,2002
"85","Ball State","Mark Smith","Defensive Coordinator/Linebackers Coach","White",2003,2008
"86","Ball State","Doug Graber","Defensive Coordinator","White",2009,2009
"87","Ball State","Jay Hood","Defensive Coordinator","White",2010,2010
"88","Ball State","Jay Bateman","Defensive Coordinator/Linebackers Coach","White",2011,2013
"89","Ball State","Kevin Kelly","Defensive Coordinator/Inside Linebackers Coach","White",2014,2015
"90","Ball State","Tim Daoust","Defensive Coordinator","White",2016,2016
"91","Ball State","David Elson","Defensive Coordinator","White",2017,2019
"92","Ball State","Tyler Stockton","Defensive Coordinator/Inside Linebackers Coach","Black",2019,2021
"93","Baylor","Brick Haley","Defensive Coordinator/Linebackers Coach","Black",2000,2001
"94","Baylor","Bob Trott","Defensive Coordinator/Defensive Backs Coach","White",2002,2002
"95","Baylor","Bill Bradley","Defensive Coordinator","White",2004,2006
"96","Baylor","Larry Hoefer","Defensive Coordinator/Safeties Coach","White",2007,2007
"97","Baylor","Brian Norwood","Defensive Coordinator","Black",2008,2010
"98","Baylor","Phil Bennett","Defensive Coordinator","White",2011,2016
"99","Baylor","Phil Snow","Defensive Coordinator/Safeties Coach","White",2017,2019
"100","Baylor","Ron Roberts","Defensive Coordinator/Linebackers Coach","White",2020,2021
"101","Boise State","Brent Guy","Defensive Coordinator/Inside Linebackers Coach","White",2000,2000
"102","Boise State","Bob Gregory","Defensive Coordinator","White",2001,2001
"103","Boise State","Ron Collins","Defensive Coordinator/Linebackers Coach","White",2002,2005
"104","Boise State","Justin Wilcox","Defensive Coordinator","White",2006,2009
"105","Boise State","Pete Kwiatkowski","Defensive Coordinator/Defensive Line Coach","White",2010,2013
"106","Boise State","Marcel Yates","Defensive Coordinator","Black",2014,2015
"107","Boise State","Andy Avalos","Defensive Coordinator/Linebackers Coach","White",2016,2018
"108","Boise State","Jeff Schmedding","Defensive Coordinator/Inside Linebackers Coach","White",2019,2020
"109","Boise State","Spencer Danielson","Defensive Coordinator","White",2019,2021
"110","Boise State","Kane Ioane","Safeties Coach/Defensive Coordinator","White",2021,2021
"111","Boston College","Frank Spaziani","Defensive Coordinator","White",2000,2008
"112","Boston College","Bill McGovern","Defensive Coordinator/Linebackers Coach","White",2009,2012
